# r C
7.500000000000000000e-01 2.802269938650306935e-01
1.500000000000000000e+00 2.281146839157108530e-01
2.250000000000000000e+00 1.802613196852493882e-01
2.500000000000000000e+00 1.861263670312083285e-01
3.000000000000000000e+00 1.561331974240749709e-01
3.250000000000000000e+00 1.314319818618298330e-01
3.750000000000000000e+00 1.251071619098426402e-01
4.250000000000000000e+00 1.109938316884502563e-01
4.500000000000000000e+00 1.102579437850093325e-01
4.750000000000000000e+00 1.023631134969325146e-01
5.000000000000000000e+00 9.189770605494798628e-02
5.250000000000000000e+00 9.451178647639370267e-02
5.500000000000000000e+00 8.620482128567617808e-02
6.000000000000000000e+00 8.338844580777096671e-02
6.500000000000000000e+00 7.630058015470791988e-02
6.750000000000000000e+00 7.432450471640922318e-02
7.000000000000000000e+00 7.098359562550013435e-02
7.250000000000000000e+00 6.826259064766190821e-02
7.500000000000000000e+00 6.861434394458476582e-02
7.750000000000000000e+00 6.467918945052014701e-02
8.250000000000000000e+00 6.226393149284253914e-02
8.500000000000000000e+00 5.941914034218648971e-02
8.750000000000000000e+00 5.843396572419311263e-02
9.000000000000000000e+00 5.728807682048546457e-02
9.250000000000000000e+00 5.584440850893571118e-02
9.500000000000000000e+00 5.356932682048546474e-02
9.750000000000000000e+00 5.257482411976526632e-02
1.000000000000000000e+01 5.020305414777274239e-02
1.025000000000000000e+01 4.904812394416288579e-02
1.050000000000000000e+01 4.984292894771939070e-02
1.075000000000000000e+01 4.790054681248332585e-02
1.100000000000000000e+01 4.748783008802347216e-02
1.125000000000000000e+01 4.594873299546545220e-02
1.150000000000000000e+01 4.450249233128834164e-02
1.175000000000000000e+01 4.334590890904241323e-02
1.200000000000000000e+01 4.326271672445985983e-02
1.225000000000000000e+01 4.228780341424379779e-02
1.250000000000000000e+01 4.099161443051480003e-02
1.275000000000000000e+01 4.085016374736966799e-02
1.300000000000000000e+01 3.976403040810883027e-02
1.325000000000000000e+01 3.904173215969820865e-02
1.350000000000000000e+01 3.868479846151860052e-02
1.375000000000000000e+01 3.757698416547442660e-02
1.400000000000000000e+01 3.695337645594380660e-02
1.425000000000000000e+01 3.657345625500132980e-02
1.450000000000000000e+01 3.579692362407752709e-02
1.475000000000000000e+01 3.518891148750778047e-02
1.500000000000000000e+01 3.496371496167093723e-02
1.525000000000000000e+01 3.404308482261936275e-02
1.550000000000000000e+01 3.354932224350735959e-02
1.575000000000000000e+01 3.319769716368809603e-02
1.600000000000000000e+01 3.252660709522539606e-02
1.625000000000000000e+01 3.177020538810349654e-02
1.650000000000000000e+01 3.178284447281179426e-02
1.675000000000000000e+01 3.123439583889037197e-02
1.700000000000000000e+01 3.075505468124833247e-02
1.725000000000000000e+01 3.034006169761211888e-02
1.750000000000000000e+01 2.988197805128986820e-02
1.775000000000000000e+01 2.941621654663465618e-02
1.800000000000000000e+01 2.909754095344965416e-02
