# L Rg
5.963623316594642176e+00 8.660249999962652545e-01
9.540954763499938096e+00 1.341639999998716082e+00
1.206792640639329051e+01 1.581139999999998214e+00
1.357228782971653835e+01 1.727255281525078789e+00
1.526417967175233237e+01 1.945549999999994339e+00
1.716697906607859991e+01 2.059444196529523374e+00
1.930697728883249908e+01 2.332428442101794897e+00
2.171374302937518763e+01 2.426179938475730768e+00
2.442053094548650805e+01 2.710493760473317248e+00
2.746474114816052392e+01 2.638548394514717454e+00
3.088843596477482123e+01 2.912253007548633477e+00
3.473892112083115791e+01 3.146943177175221429e+00
3.906939937054616507e+01 3.364023929168028726e+00
4.393970560760789823e+01 3.633035021257165820e+00
4.941713361323834164e+01 3.945619883952996343e+00
5.557736586486876007e+01 4.191749045089039782e+00
6.250551925273975229e+01 4.528719882969683752e+00
7.029732115325474240e+01 4.866275848704249896e+00
7.906043210907699859e+01 5.156717762424764651e+00
8.891593339164637655e+01 5.509578395885748492e+00
1.000000000000000426e+02 5.930537358918412494e+00
1.124657822119820025e+02 6.328895093436122998e+00
1.264855216855296050e+02 6.744325633505718010e+00
1.422529313485370608e+02 7.214934977248965708e+00
1.599858719606058912e+02 7.694594269923117125e+00
1.799293623291553104e+02 8.189448737447371229e+00
2.023589647725157192e+02 8.790930171364024659e+00
2.275845926074787826e+02 9.386343401230210048e+00
2.559547922699537139e+02 1.002410418801796865e+01
2.878615592354569230e+02 1.074513651117832147e+01
3.237457542817644480e+02 1.153360290571098545e+01
3.641031949310673781e+02 1.242298370497079318e+01
4.094915062380423478e+02 1.333805139467879286e+01
4.605378255822416236e+02 1.413324515949299354e+01
5.179474679231211667e+02 1.491693031352392751e+01
5.825136712468924998e+02 1.574462710383971320e+01
6.551285568595505993e+02 1.660658989476702274e+01
7.367954559661632175e+02 1.749797692676018812e+01
8.286427728546844946e+02 1.826310754234602740e+01
9.319395762340777765e+02 1.885787054018734565e+01
1.048113134154686350e+03 1.932254997191504842e+01
1.178768634793587808e+03 1.962536232950452941e+01
1.325711365590109381e+03 1.988068484188802998e+01
1.490971657184064043e+03 2.005758146522922303e+01
