# L Rg
5.963623316594642176e+00 8.660249999961912026e-01
9.540954763499938096e+00 1.341639999998977650e+00
1.206792640639329051e+01 1.581139999999998658e+00
1.357228782971653835e+01 1.725214598042651648e+00
1.526417967175233237e+01 1.945549999999994784e+00
1.716697906607859991e+01 2.054018347026165259e+00
1.930697728883249908e+01 2.327380460971534060e+00
2.171374302937518763e+01 2.425661592216804330e+00
2.442053094548650805e+01 2.707614076688614535e+00
2.746474114816052392e+01 2.635976081769235702e+00
3.088843596477482123e+01 2.916358736713553057e+00
3.473892112083115791e+01 3.167487375711194986e+00
3.906939937054616507e+01 3.386767981352065693e+00
4.393970560760789823e+01 3.659065385136495596e+00
4.941713361323834164e+01 3.962911207901379740e+00
5.557736586486876007e+01 4.206069227318942616e+00
6.250551925273975229e+01 4.551271712589707974e+00
7.029732115325474240e+01 4.890637242895540027e+00
7.906043210907699859e+01 5.187122475681969824e+00
8.891593339164637655e+01 5.561897351006607870e+00
1.000000000000000426e+02 5.998340502767633531e+00
1.124657822119820025e+02 6.363654401679353256e+00
1.264855216855296050e+02 6.798724237910543700e+00
1.422529313485370608e+02 7.255797938902733613e+00
1.599858719606058912e+02 7.741258145894818199e+00
1.799293623291553104e+02 8.267579596765537886e+00
2.023589647725157192e+02 8.843408505390689456e+00
2.275845926074787826e+02 9.474946843419230547e+00
2.559547922699537139e+02 1.013210722682202025e+01
2.878615592354569230e+02 1.084180329929694686e+01
3.237457542817644480e+02 1.164114044706028039e+01
3.641031949310673781e+02 1.240882648919118836e+01
4.094915062380423478e+02 1.323445062027145980e+01
4.605378255822416236e+02 1.410358711002313647e+01
5.179474679231211667e+02 1.487662269578185281e+01
5.825136712468924998e+02 1.570610899963875795e+01
6.551285568595505993e+02 1.657373429106129592e+01
7.367954559661632175e+02 1.747729326606951972e+01
8.286427728546844946e+02 1.820842903432533433e+01
9.319395762340777765e+02 1.888295654497946430e+01
1.048113134154686350e+03 1.927935290577847383e+01
1.178768634793587808e+03 1.963401336557859267e+01
1.325711365590109381e+03 1.985805481269235884e+01
1.490971657184064043e+03 2.008966753124336080e+01
