# L Rg
5.963623316594642176e+00 8.660249999939774179e-01
9.540954763499938096e+00 1.341640000000392741e+00
1.206792640639329051e+01 1.581139999998376178e+00
1.357228782971653835e+01 1.809164466390309478e+00
1.526417967175233237e+01 1.952602811814840189e+00
1.716697906607859991e+01 2.378974687217010331e+00
1.930697728883249908e+01 2.581751507610269947e+00
2.171374302937518763e+01 2.732932668220107608e+00
2.442053094548650805e+01 2.970565772662689952e+00
2.746474114816052392e+01 3.269616050339219981e+00
3.088843596477482123e+01 3.694632016604060265e+00
3.473892112083115791e+01 4.148917301071028518e+00
3.906939937054616507e+01 4.551259018164704351e+00
4.393970560760789823e+01 5.035735779517029442e+00
4.941713361323834164e+01 5.650445425341861672e+00
5.557736586486876007e+01 6.227227636183754633e+00
6.250551925273975229e+01 6.914453181599730769e+00
7.029732115325474240e+01 7.609258305058666849e+00
7.906043210907699859e+01 8.265397501137892178e+00
8.891593339164637655e+01 9.090918718942171850e+00
1.000000000000000426e+02 1.001712791566994021e+01
1.124657822119820025e+02 1.085681291560967843e+01
1.264855216855296050e+02 1.175925126726359515e+01
1.422529313485370608e+02 1.269077107054194720e+01
1.599858719606058912e+02 1.349146267481240358e+01
1.799293623291553104e+02 1.470421964702888928e+01
2.023589647725157192e+02 1.574459969531222470e+01
2.275845926074787826e+02 1.684053062748647633e+01
2.559547922699537139e+02 1.705689898275845451e+01
2.878615592354569230e+02 1.812158504844056495e+01
3.237457542817644480e+02 1.843523571640099590e+01
3.641031949310673781e+02 1.938743972895862200e+01
4.094915062380423478e+02 2.033892800180591465e+01
4.605378255822416236e+02 2.174513914555441829e+01
5.179474679231211667e+02 2.208309133531992785e+01
