# L Rg
5.963623316594642176e+00 8.660249999960404343e-01
9.540954763499938096e+00 1.341639999998979205e+00
1.206792640639329051e+01 1.581139999999999546e+00
1.357228782971653835e+01 1.723996256770200963e+00
1.526417967175233237e+01 1.945550000000002777e+00
1.716697906607859991e+01 2.050310508458632164e+00
1.930697728883249908e+01 2.327785612618217037e+00
2.171374302937518763e+01 2.418162002853491366e+00
2.442053094548650805e+01 2.699849456296513850e+00
2.746474114816052392e+01 2.618615543055625050e+00
3.088843596477482123e+01 2.890429423789999674e+00
3.473892112083115791e+01 3.129554943242441656e+00
3.906939937054616507e+01 3.340983810630136386e+00
4.393970560760789823e+01 3.630272245917471441e+00
4.941713361323834164e+01 3.923191307623706159e+00
5.557736586486876007e+01 4.183426412562158525e+00
6.250551925273975229e+01 4.526783368253489037e+00
7.029732115325474240e+01 4.854137154128006948e+00
7.906043210907699859e+01 5.149644793682645272e+00
8.891593339164637655e+01 5.505514353871018507e+00
1.000000000000000426e+02 5.917527951156078103e+00
1.124657822119820025e+02 6.287173028714165390e+00
1.264855216855296050e+02 6.721921765055255626e+00
1.422529313485370608e+02 7.187400605121927910e+00
1.599858719606058912e+02 7.650184589955254744e+00
1.799293623291553104e+02 8.188100652348531128e+00
2.023589647725157192e+02 8.789469905194318144e+00
2.275845926074787826e+02 9.380762893387455392e+00
2.559547922699537139e+02 1.001229604012691787e+01
2.878615592354569230e+02 1.073324391922417931e+01
3.237457542817644480e+02 1.151369615839020888e+01
3.641031949310673781e+02 1.234376775339189969e+01
4.094915062380423478e+02 1.319856892432690110e+01
4.605378255822416236e+02 1.405131695779439127e+01
5.179474679231211667e+02 1.482338922247242685e+01
5.825136712468924998e+02 1.563540304783428603e+01
6.551285568595505993e+02 1.647630594644042290e+01
7.367954559661632175e+02 1.739051494525730845e+01
8.286427728546844946e+02 1.819138798428069137e+01
9.319395762340777765e+02 1.885244130374917049e+01
1.048113134154686350e+03 1.926337027089999410e+01
1.178768634793587808e+03 1.965014499814218141e+01
1.325711365590109381e+03 1.985867413770995782e+01
1.490971657184064043e+03 2.017447012207385626e+01
