# Jc nu
2.000000000000000000e+00 8.172904670147331796e-01
1.500000000000000000e+00 8.235599102559201246e-01
1.000000000000000000e+00 8.178149072319558233e-01
5.000000000000000000e-01 8.201339852117612850e-01
0.000000000000000000e+00 6.179596890121888952e-01
-5.000000000000000000e-01 5.776831195906086958e-01
-1.000000000000000000e+00 5.789130580890049504e-01
-1.500000000000000000e+00 5.793689592531340304e-01
-2.000000000000000000e+00 5.791897435540932504e-01
