rho,pdf_rho
0.775380952380952,0.000437828371278459
0.783285714285714,0
0.791190476190476,0
0.799095238095238,0
0.807,0
0.814904761904762,0.000875656742556918
0.822809523809524,0.00131348511383538
0.830714285714286,0.000875656742556918
0.838619047619048,0.00306479859894921
0.846523809523809,0.00350262697022767
0.854428571428571,0.00394045534150613
0.862333333333333,0.00175131348511384
0.870238095238095,0.00306479859894921
0.878142857142857,0.010507880910683
0.886047619047619,0.00525394045534151
0.893952380952381,0.00963222416812609
0.901857142857143,0.0131348511383538
0.909761904761905,0.0140105078809107
0.917666666666667,0.0148861646234676
0.925571428571429,0.0240805604203152
0.93347619047619,0.0183887915936953
0.941380952380952,0.0407180385288967
0.949285714285714,0.0280210157618214
0.957190476190476,0.037215411558669
0.965095238095238,0.0385288966725044
0.973,0.042907180385289
0.980904761904762,0.0472854640980736
0.988809523809524,0.0499124343257443
0.996714285714286,0.0521015761821366
1.00461904761905,0.0516637478108581
1.01252380952381,0.0547285464098074
1.02042857142857,0.0481611208406305
1.02833333333333,0.063922942206655
1.0362380952381,0.058231173380035
1.04414285714286,0.0499124343257443
1.05204761904762,0.0503502626970228
1.05995238095238,0.0319614711033275
1.06785714285714,0.0319614711033275
1.0757619047619,0.0258318739054291
1.08366666666667,0.0214535901926445
1.09157142857143,0.0153239929947461
1.09947619047619,0.0144483362521891
1.10738095238095,0.00569176882661997
1.11528571428571,0.00525394045534151
1.12319047619048,0.00175131348511384
1.13109523809524,0.00262697022767075
1.139,0.000437828371278459
1.14690476190476,0.000437828371278459
1.15480952380952,0
1.16271428571429,0.000437828371278459
