# L Rg
1.053724972736073084e+01 1.341639999998868849e+00
1.169989106589065919e+01 1.581140000000000212e+00
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.718449018741367684e+00
1.601568264445835510e+01 1.945550000000000557e+00
1.778279410038922848e+01 2.037324483529789010e+00
1.974488212815936450e+01 2.292145000000000099e+00
2.192345972483446914e+01 2.412989642495116271e+00
2.434241355236920512e+01 2.567785000000000206e+00
2.702826583905163460e+01 2.594227406981617801e+00
3.001046517818873482e+01 2.873465002206204488e+00
3.332170941244817897e+01 3.129275880821154043e+00
3.699830414406963541e+01 3.315275803335608895e+00
4.108056080177274083e+01 3.524981903631155600e+00
4.561323862890213832e+01 3.736937616969070675e+00
5.064603543891708881e+01 3.917317606581895539e+00
5.623413251903490817e+01 4.182933108664420807e+00
6.243879965653627551e+01 4.442903032710283640e+00
6.932806692144527005e+01 4.694210072346077567e+00
7.697747057123714853e+01 5.025811443755541674e+00
8.547088125592514984e+01 5.386133856758038796e+00
9.490142360424729873e+01 5.755543239352124196e+00
1.053724972736073084e+02 6.092745740785924013e+00
1.169989106589065955e+02 6.498423220445288528e+00
1.299081396906348118e+02 6.875337499999989888e+00
1.442417255241066414e+02 7.245747421224188578e+00
1.601568264445835439e+02 7.727241383311024059e+00
1.778279410038922776e+02 8.178424437975818861e+00
1.974488212815936663e+02 8.745964941037737361e+00
2.192345972483447838e+02 9.259496758747697953e+00
2.434241355236920867e+02 9.864477950937956763e+00
2.702826583905163602e+02 1.047356367041199654e+01
3.001046517818873554e+02 1.097641802254985777e+01
3.332170941244818323e+02 1.181117558341368401e+01
3.699830414406964110e+02 1.251421728950404422e+01
4.108056080177276499e+02 1.325491668597913097e+01
4.561323862890214969e+02 1.406169563437925341e+01
5.064603543891709023e+02 1.498916252100839763e+01
5.623413251903490391e+02 1.607075933456561856e+01
6.243879965653625277e+02 1.687807306930692164e+01
6.932806692144527005e+02 1.781699957264957845e+01
7.697747057123714285e+02 1.915390628140702134e+01
8.547088125592514416e+02 2.034015000000000839e+01
9.490142360424729304e+02 2.138800386904762973e+01
1.053724972736073141e+03 2.301399601226993852e+01
1.169989106589066068e+03 2.439787991967872216e+01
1.299081396906347436e+03 2.549207981220656549e+01
1.442417255241065732e+03 2.767230137614679464e+01
1.601568264445835666e+03 2.933944581005586727e+01
1.778279410038923743e+03 3.163100273224043235e+01
1.974488212815937914e+03 3.340571513513513224e+01
2.192345972483447895e+03 3.532252550335569907e+01
2.434241355236920754e+03 3.833770536912751936e+01
2.702826583905163716e+03 4.080872418300651816e+01
3.001046517818873326e+03 4.373820479452056986e+01
3.332170941244818096e+03 4.701201785714287240e+01
3.699830414406963882e+03 4.909859206349208449e+01
4.108056080177274453e+03 5.163044150943396460e+01
4.561323862890215423e+03 5.484920357142858904e+01
5.064603543891711524e+03 5.697907254901961949e+01
5.623413251903493801e+03 5.894137500000000074e+01
6.243879965653628460e+03 6.369843189655172466e+01
6.932806692144527005e+03 6.651055762711865782e+01
7.697747057123714512e+03 6.991563999999996781e+01
8.547088125592514189e+03 7.285200890410962415e+01
9.490142360424730214e+03 7.389758924050630640e+01
1.053724972736072414e+04 7.538346666666664930e+01
1.169989106589065159e+04 7.644136666666666713e+01
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
