# L Rg
1.053724972736073084e+01 1.341640000000067001e+00
1.169989106589065919e+01 nan
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.716170078988869196e+00
1.601568264445835510e+01 nan
1.778279410038922848e+01 2.022009881831645206e+00
1.974488212815936450e+01 nan
2.192345972483446914e+01 2.393283539325834486e+00
2.434241355236920512e+01 nan
2.702826583905163460e+01 2.547523982905971263e+00
3.001046517818873482e+01 2.820755604113113435e+00
3.332170941244817897e+01 3.061631607843140479e+00
3.699830414406963541e+01 3.251071658767770600e+00
4.108056080177274083e+01 3.419562029702970740e+00
4.561323862890213832e+01 3.697176012658228039e+00
5.064603543891708881e+01 3.845470063291139606e+00
5.623413251903490817e+01 4.041769627659574482e+00
6.243879965653627551e+01 4.359419024390242647e+00
6.932806692144527005e+01 4.594167238805970221e+00
7.697747057123714853e+01 4.860629082568809878e+00
8.547088125592514984e+01 5.238183492063492430e+00
9.490142360424729873e+01 5.597349999999997827e+00
1.053724972736073084e+02 6.026953571428571799e+00
1.169989106589065955e+02 6.391515666666665929e+00
1.299081396906348118e+02 6.740131025641024287e+00
1.442417255241066414e+02 7.104487454545455272e+00
1.601568264445835439e+02 7.508914199999996875e+00
1.778279410038922776e+02 7.884046829268295475e+00
1.974488212815936663e+02 8.797887931034484410e+00
2.192345972483447838e+02 9.356376500000001428e+00
2.434241355236920867e+02 9.745394666666667760e+00
2.702826583905163602e+02 1.085548702702702606e+01
3.001046517818873554e+02 1.117389020833333468e+01
3.332170941244818323e+02 1.157291952380952260e+01
3.699830414406964110e+02 1.247471521739130296e+01
4.108056080177276499e+02 1.295466285714285704e+01
4.561323862890214969e+02 1.420849887640449616e+01
5.064603543891709023e+02 1.427401616161616715e+01
5.623413251903490391e+02 1.461738958333333294e+01
6.243879965653625277e+02 1.523406829268292739e+01
6.932806692144527005e+02 1.585668888888888972e+01
7.697747057123714285e+02 nan
8.547088125592514416e+02 nan
9.490142360424729304e+02 nan
1.053724972736073141e+03 nan
1.169989106589066068e+03 nan
1.299081396906347436e+03 nan
1.442417255241065732e+03 nan
1.601568264445835666e+03 nan
1.778279410038923743e+03 nan
1.974488212815937914e+03 nan
2.192345972483447895e+03 nan
2.434241355236920754e+03 nan
2.702826583905163716e+03 nan
3.001046517818873326e+03 nan
3.332170941244818096e+03 nan
3.699830414406963882e+03 nan
4.108056080177274453e+03 nan
4.561323862890215423e+03 nan
5.064603543891711524e+03 nan
5.623413251903493801e+03 nan
6.243879965653628460e+03 nan
6.932806692144527005e+03 nan
7.697747057123714512e+03 nan
8.547088125592514189e+03 nan
9.490142360424730214e+03 nan
1.053724972736072414e+04 nan
1.169989106589065159e+04 nan
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
