# L Rg
1.053724972736073084e+01 1.341639999998799349e+00
1.169989106589065919e+01 1.581140000000002210e+00
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.720416584395143111e+00
1.601568264445835510e+01 1.945549999999998114e+00
1.778279410038922848e+01 2.045855687667737399e+00
1.974488212815936450e+01 2.304389111111113664e+00
2.192345972483446914e+01 2.424958128488649667e+00
2.434241355236920512e+01 2.643993103448274429e+00
2.702826583905163460e+01 2.612328699995686510e+00
3.001046517818873482e+01 2.892342900583835252e+00
3.332170941244817897e+01 3.151534522207507738e+00
3.699830414406963541e+01 3.349897584599994094e+00
4.108056080177274083e+01 3.555920019540828481e+00
4.561323862890213832e+01 3.789376887404201977e+00
5.064603543891708881e+01 3.961080630894113330e+00
5.623413251903490817e+01 4.229452696846670356e+00
6.243879965653627551e+01 4.514124208520952308e+00
6.932806692144527005e+01 4.740884471160746294e+00
7.697747057123714853e+01 5.051750442797734664e+00
8.547088125592514984e+01 5.438837653124517502e+00
9.490142360424729873e+01 5.771332117137321305e+00
1.053724972736073084e+02 6.127289896547429393e+00
1.169989106589065955e+02 6.521542136923076605e+00
1.299081396906348118e+02 6.917312040777436444e+00
1.442417255241066414e+02 7.319215487848471646e+00
1.601568264445835439e+02 7.777452365661882361e+00
1.778279410038922776e+02 8.279080412642676023e+00
1.974488212815936663e+02 8.775405288043497620e+00
2.192345972483447838e+02 9.349452374533999688e+00
2.434241355236920867e+02 9.849536387253198910e+00
2.702826583905163602e+02 1.053933767043383618e+01
3.001046517818873554e+02 1.114100363458529230e+01
3.332170941244818323e+02 1.187063298877455253e+01
3.699830414406964110e+02 1.262070190530519476e+01
4.108056080177276499e+02 1.334614134916039418e+01
4.561323862890214969e+02 1.428235665181409964e+01
5.064603543891709023e+02 1.506112351648356018e+01
5.623413251903490391e+02 1.600659112833763231e+01
6.243879965653625277e+02 1.698787479674797751e+01
6.932806692144527005e+02 1.787285056603771949e+01
7.697747057123714285e+02 1.892464741784036875e+01
8.547088125592514416e+02 2.031076405835544207e+01
9.490142360424729304e+02 2.145038147100424553e+01
1.053724972736073141e+03 2.302619374021909593e+01
1.169989106589066068e+03 2.432233829787232793e+01
1.299081396906347436e+03 2.554137591522160378e+01
1.442417255241065732e+03 2.742620881057271376e+01
1.601568264445835666e+03 2.900414653937948728e+01
1.778279410038923743e+03 3.141205342105261522e+01
1.974488212815937914e+03 3.232865524691356995e+01
2.192345972483447895e+03 3.464761856677526453e+01
2.434241355236920754e+03 3.676634695945948295e+01
2.702826583905163716e+03 3.874721047297300203e+01
3.001046517818873326e+03 4.203721528925618145e+01
3.332170941244818096e+03 4.370553170731705706e+01
3.699830414406963882e+03 4.664982190476193580e+01
4.108056080177274453e+03 4.975423990610330094e+01
4.561323862890215423e+03 5.364818134715027043e+01
5.064603543891711524e+03 5.672902176165805344e+01
5.623413251903493801e+03 6.125874619565217216e+01
6.243879965653628460e+03 6.393239644970419988e+01
6.932806692144527005e+03 6.886629923076925763e+01
7.697747057123714512e+03 7.426480239999997934e+01
8.547088125592514189e+03 7.755095206611569836e+01
9.490142360424730214e+03 8.392071718749997444e+01
1.053724972736072414e+04 8.722046702127659046e+01
1.169989106589065159e+04 9.670727480916025343e+01
1.299081396906347982e+04 9.959311518987338729e+01
1.442417255241066232e+04 1.042685399999999589e+02
1.601568264445835484e+04 1.125349864864865168e+02
1.778279410038924470e+04 1.152427849999999978e+02
1.974488212815938823e+04 1.219232197368420714e+02
2.192345972483446167e+04 1.221924645161290499e+02
2.434241355236919117e+04 1.369082083333333060e+02
2.702826583905164807e+04 1.397601153846153750e+02
3.001046517818875145e+04 1.465462222222222408e+02
3.332170941244816640e+04 1.529864285714286041e+02
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
