# K=5
# L PDF
1.053724972736073084e+01 2.449938155072045043e-01
1.169989106589065919e+01 2.351166001594996561e-04
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 1.326244840967668592e-01
1.601568264445835510e+01 2.610349568627195332e-04
1.778279410038922848e+01 7.241375189571105930e-02
1.974488212815936450e+01 1.841845328382849391e-04
2.192345972483446914e+01 2.365090967552968895e-02
2.434241355236920512e+01 1.142828966325273003e-04
2.702826583905163460e+01 2.035699772931725757e-02
3.001046517818873482e+01 1.284468123591842557e-02
3.332170941244817897e+01 7.512875520293179656e-03
3.699830414406963541e+01 6.151340208574517833e-03
4.108056080177274083e+01 4.553797788201356667e-03
4.561323862890213832e+01 3.112841635825120291e-03
5.064603543891708881e+01 2.489897067776020070e-03
5.623413251903490817e+01 3.482822329592524715e-03
6.243879965653627551e+01 1.278138001386146250e-03
6.932806692144527005e+01 1.828352673419658897e-03
7.697747057123714853e+01 1.336149247405446190e-03
8.547088125592514984e+01 1.358659176313469592e-03
9.490142360424729873e+01 6.442485848272771435e-04
1.053724972736073084e+02 7.191645462067626548e-04
1.169989106589065955e+02 5.181863600125473498e-04
1.299081396906348118e+02 3.811546766168187562e-04
1.442417255241066414e+02 3.515750195854710700e-04
1.601568264445835439e+02 2.628786981937174401e-04
1.778279410038922776e+02 2.384164466146514595e-04
1.974488212815936663e+02 1.693080898013447314e-04
2.192345972483447838e+02 1.442604118026052310e-04
2.434241355236920867e+02 1.066214733945924958e-04
2.702826583905163602e+02 8.734367017154737363e-05
3.001046517818873554e+02 7.384798388267410337e-05
3.332170941244818323e+02 5.741463723293338832e-05
3.699830414406964110e+02 4.120776252807703088e-05
4.108056080177276499e+02 3.597791556516948740e-05
4.561323862890214969e+02 3.001766069573083275e-05
5.064603543891709023e+02 2.249315443282975087e-05
5.623413251903490391e+02 1.807463738734751551e-05
6.243879965653625277e+02 1.334142100765281712e-05
6.932806692144527005e+02 1.208290940379100964e-05
7.697747057123714285e+02 9.791967134959829797e-06
8.547088125592514416e+02 7.782469585949749796e-06
9.490142360424729304e+02 6.272171021577196704e-06
1.053724972736073141e+03 6.445342631098338935e-06
1.169989106589066068e+03 4.596064613287401019e-06
1.299081396906347436e+03 4.821259719917745800e-06
1.442417255241065732e+03 4.234415651151976116e-06
1.601568264445835666e+03 4.337644078722470610e-06
1.778279410038923743e+03 4.483417782746145873e-06
1.974488212815937914e+03 4.762035998596678627e-06
2.192345972483447895e+03 5.947640565227801998e-06
2.434241355236920754e+03 6.441980039230167247e-06
2.702826583905163716e+03 5.882328807471560592e-06
3.001046517818873326e+03 3.158995102975541369e-06
3.332170941244818096e+03 7.415862973222099297e-07
3.699830414406963882e+03 1.680234965466953742e-08
4.108056080177274453e+03 0.000000000000000000e+00
4.561323862890215423e+03 0.000000000000000000e+00
5.064603543891711524e+03 0.000000000000000000e+00
5.623413251903493801e+03 0.000000000000000000e+00
6.243879965653628460e+03 0.000000000000000000e+00
6.932806692144527005e+03 0.000000000000000000e+00
7.697747057123714512e+03 0.000000000000000000e+00
8.547088125592514189e+03 0.000000000000000000e+00
9.490142360424730214e+03 0.000000000000000000e+00
1.053724972736072414e+04 0.000000000000000000e+00
1.169989106589065159e+04 0.000000000000000000e+00
1.299081396906347982e+04 0.000000000000000000e+00
1.442417255241066232e+04 0.000000000000000000e+00
1.601568264445835484e+04 0.000000000000000000e+00
1.778279410038924470e+04 0.000000000000000000e+00
1.974488212815938823e+04 0.000000000000000000e+00
2.192345972483446167e+04 0.000000000000000000e+00
2.434241355236919117e+04 0.000000000000000000e+00
2.702826583905164807e+04 0.000000000000000000e+00
3.001046517818875145e+04 0.000000000000000000e+00
3.332170941244816640e+04 0.000000000000000000e+00
3.699830414406962518e+04 0.000000000000000000e+00
4.108056080177275726e+04 0.000000000000000000e+00
4.561323862890215241e+04 0.000000000000000000e+00
5.064603543891708978e+04 0.000000000000000000e+00
5.623413251903496712e+04 0.000000000000000000e+00
6.243879965653631371e+04 0.000000000000000000e+00
6.932806692144523549e+04 0.000000000000000000e+00
7.697747057123709237e+04 0.000000000000000000e+00
8.547088125592518190e+04 0.000000000000000000e+00
9.490142360424734943e+04 0.000000000000000000e+00
1.053724972736073541e+05 0.000000000000000000e+00
1.169989106589066505e+05 0.000000000000000000e+00
1.299081396906348091e+05 0.000000000000000000e+00
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
