# K=5
# L Rg
1.053724972736073084e+01 7.745970000417397028e-01
1.169989106589065919e+01 9.128709999999956581e-01
1.299081396906347408e+01 nan
1.442417255241065810e+01 9.914640754170054304e-01
1.601568264445835510e+01 1.123260000000044112e+00
1.778279410038922848e+01 1.169480081536330873e+00
1.974488212815936450e+01 1.329698859088131346e+00
2.192345972483446914e+01 1.380363447775008634e+00
2.434241355236920512e+01 1.512692890710403804e+00
2.702826583905163460e+01 1.475563777857961112e+00
3.001046517818873482e+01 1.626709958771731301e+00
3.332170941244817897e+01 1.767157610595879724e+00
3.699830414406963541e+01 1.872807578252898120e+00
4.108056080177274083e+01 1.987322958891025726e+00
4.561323862890213832e+01 2.112663820454836916e+00
5.064603543891708881e+01 2.209064933328647395e+00
5.623413251903490817e+01 2.356608235112240823e+00
6.243879965653627551e+01 2.510450092988866455e+00
6.932806692144527005e+01 2.644402930598470203e+00
7.697747057123714853e+01 2.823084063941591726e+00
8.547088125592514984e+01 3.031691896185029211e+00
9.490142360424729873e+01 3.232430244598273994e+00
1.053724972736073084e+02 3.424483858639503886e+00
1.169989106589065955e+02 3.640527757352927107e+00
1.299081396906348118e+02 3.855403264962998122e+00
1.442417255241066414e+02 4.086740423559017010e+00
1.601568264445835439e+02 4.342475487527832634e+00
1.778279410038922776e+02 4.612826278042682304e+00
1.974488212815936663e+02 4.910013809038771271e+00
2.192345972483447838e+02 5.209240374704355858e+00
2.434241355236920867e+02 5.537668684817561804e+00
2.702826583905163602e+02 5.861782101949357227e+00
3.001046517818873554e+02 6.225821491367852012e+00
3.332170941244818323e+02 6.618352064222551512e+00
3.699830414406964110e+02 7.021144889272671108e+00
4.108056080177276499e+02 7.440419376911305172e+00
4.561323862890214969e+02 7.912643924329079148e+00
5.064603543891709023e+02 8.405022519717748608e+00
5.623413251903490391e+02 8.917206964727528273e+00
6.243879965653625277e+02 9.440286345259950807e+00
6.932806692144527005e+02 1.005544158014058098e+01
7.697747057123714285e+02 1.067615374176729759e+01
8.547088125592514416e+02 1.137570073208008914e+01
9.490142360424729304e+02 1.202237419557260623e+01
1.053724972736073141e+03 1.281014295962441096e+01
1.169989106589066068e+03 1.357762467899890169e+01
1.299081396906347436e+03 1.437045264670661027e+01
1.442417255241065732e+03 1.527490847866915935e+01
1.601568264445835666e+03 1.627869470769233118e+01
1.778279410038923743e+03 1.728771290432412044e+01
1.974488212815937914e+03 1.833283227533457449e+01
2.192345972483447895e+03 1.952051497235218136e+01
2.434241355236920754e+03 2.067896981402001799e+01
2.702826583905163716e+03 2.179974077555819889e+01
3.001046517818873326e+03 2.323792263092267518e+01
3.332170941244818096e+03 2.470908860482107272e+01
3.699830414406963882e+03 2.624973743190661679e+01
4.108056080177274453e+03 2.780973774250442077e+01
4.561323862890215423e+03 2.919296852791876162e+01
5.064603543891711524e+03 3.135991140684409118e+01
5.623413251903493801e+03 3.307366540469976002e+01
6.243879965653628460e+03 3.544833953147875150e+01
6.932806692144527005e+03 3.779374211438474873e+01
7.697747057123714512e+03 3.989934332755630919e+01
8.547088125592514189e+03 4.264521701680674681e+01
9.490142360424730214e+03 4.562344260089685832e+01
1.053724972736072414e+04 4.798882261072260036e+01
1.169989106589065159e+04 5.110683062827221335e+01
1.299081396906347982e+04 5.472879625000004467e+01
1.442417255241066232e+04 5.845825874673631262e+01
1.601568264445835484e+04 6.292207888349518896e+01
1.778279410038924470e+04 6.574586674157305310e+01
1.974488212815938823e+04 7.041374545454543465e+01
2.192345972483446167e+04 7.404409580093309273e+01
2.434241355236919117e+04 7.868222926829272978e+01
2.702826583905164807e+04 8.163979689839575826e+01
3.001046517818875145e+04 8.489450350877183382e+01
3.332170941244816640e+04 8.596693365921791496e+01
3.699830414406962518e+04 8.652332062780264721e+01
4.108056080177275726e+04 8.536478333333332102e+01
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
