# K=5
# L Rg
1.053724972736073084e+01 7.745969999997164290e-01
1.169989106589065919e+01 9.128709999999995439e-01
1.299081396906347408e+01 nan
1.442417255241065810e+01 9.913067201065675071e-01
1.601568264445835510e+01 1.123260000000000813e+00
1.778279410038922848e+01 1.168993096385343211e+00
1.974488212815936450e+01 1.339666363636364155e+00
2.192345972483446914e+01 1.381705257595820857e+00
2.434241355236920512e+01 1.511789444444444408e+00
2.702826583905163460e+01 1.474482684376117625e+00
3.001046517818873482e+01 1.624388219247336451e+00
3.332170941244817897e+01 1.765872979479096383e+00
3.699830414406963541e+01 1.872161299029948323e+00
4.108056080177274083e+01 1.980828242698881470e+00
4.561323862890213832e+01 2.104570071275833065e+00
5.064603543891708881e+01 2.201415273556229568e+00
5.623413251903490817e+01 2.358000530451867860e+00
6.243879965653627551e+01 2.521422060240964491e+00
6.932806692144527005e+01 2.653814743875280602e+00
7.697747057123714853e+01 2.821835151219510784e+00
8.547088125592514984e+01 3.033131735941320350e+00
9.490142360424729873e+01 3.248925669781933756e+00
1.053724972736073084e+02 3.441294348894351707e+00
1.169989106589065955e+02 3.641434580645162011e+00
1.299081396906348118e+02 3.873641242105261284e+00
1.442417255241066414e+02 4.103242342342345417e+00
1.601568264445835439e+02 4.375423798283263999e+00
1.778279410038922776e+02 4.633924323725050698e+00
1.974488212815936663e+02 4.963106220095695242e+00
2.192345972483447838e+02 5.327093497536945499e+00
2.434241355236920867e+02 5.660517343358390185e+00
2.702826583905163602e+02 5.981321939252332243e+00
3.001046517818873554e+02 6.357764635922324992e+00
3.332170941244818323e+02 6.828939267241374900e+00
3.699830414406964110e+02 7.213405485327312405e+00
4.108056080177276499e+02 7.663417721712530550e+00
4.561323862890214969e+02 7.986441736972710537e+00
5.064603543891709023e+02 8.315702256728780384e+00
5.623413251903490391e+02 8.577135044247773621e+00
6.243879965653625277e+02 8.755836546275398646e+00
6.932806692144527005e+02 8.803267083333333076e+00
7.697747057123714285e+02 nan
8.547088125592514416e+02 nan
9.490142360424729304e+02 nan
1.053724972736073141e+03 nan
1.169989106589066068e+03 nan
1.299081396906347436e+03 nan
1.442417255241065732e+03 nan
1.601568264445835666e+03 nan
1.778279410038923743e+03 nan
1.974488212815937914e+03 nan
2.192345972483447895e+03 nan
2.434241355236920754e+03 nan
2.702826583905163716e+03 nan
3.001046517818873326e+03 nan
3.332170941244818096e+03 nan
3.699830414406963882e+03 nan
4.108056080177274453e+03 nan
4.561323862890215423e+03 nan
5.064603543891711524e+03 nan
5.623413251903493801e+03 nan
6.243879965653628460e+03 nan
6.932806692144527005e+03 nan
7.697747057123714512e+03 nan
8.547088125592514189e+03 nan
9.490142360424730214e+03 nan
1.053724972736072414e+04 nan
1.169989106589065159e+04 nan
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
