# L Rg
5.685411514875032601e+00 8.674271281633315622e-01
7.316202445836982982e+00 1.492894505268387739e+00
9.414765859678945858e+00 1.348251142178594320e+00
1.211527658628588000e+01 1.581457046211272255e+00
1.559039586856090409e+01 1.877060561622324597e+00
2.006231072046491803e+01 2.351366810778520833e+00
2.581693979022961472e+01 3.036633534468940798e+00
3.322221400212147557e+01 3.617572466993662861e+00
4.275160077727167618e+01 4.198487037828238400e+00
5.501437589025533725e+01 5.290945269824841368e+00
7.079457843841373688e+01 6.747033124035859863e+00
9.110113956887529696e+01 9.070155059786271678e+00
1.172323900193513566e+02 1.203526416167955126e+01
1.508590708600178516e+02 1.313627883359900039e+01
1.941311548539712248e+02 1.271072688408557028e+01
2.498153082217129395e+02 1.661372895195639288e+01
3.214717816357377842e+02 1.919956631353215926e+01
