# L Rg
5.685411514875032601e+00 8.660254036718800785e-01
9.414765859678945858e+00 1.341640786713103495e+00
1.211527658628588000e+01 1.620687802848427950e+00
1.559039586856090409e+01 1.820199583412071664e+00
2.006231072046491803e+01 2.295137316723932841e+00
2.581693979022961472e+01 2.788817170316726379e+00
3.322221400212147557e+01 3.485893219410274302e+00
4.275160077727167618e+01 4.077580070454808414e+00
5.501437589025533725e+01 4.429535907879550649e+00
7.079457843841373688e+01 5.708088357657063128e+00
1.172323900193513566e+02 8.061983588099360887e+00
4.136820402388503908e+02 2.107032955960693954e+01
