# L Rg
5.685411514875032601e+00 8.657701815474969642e-01
7.316202445836982982e+00 1.538189501722464048e+00
9.414765859678945858e+00 1.346817456803968138e+00
1.211527658628588000e+01 1.622240112871912610e+00
1.559039586856090409e+01 1.865723885711132457e+00
2.006231072046491803e+01 2.249511589186593330e+00
2.581693979022961472e+01 2.754270349068670409e+00
3.322221400212147557e+01 3.150931478635433436e+00
4.275160077727167618e+01 3.711052435167577102e+00
5.501437589025533725e+01 4.195418474924112573e+00
7.079457843841373688e+01 4.898589759179188263e+00
9.110113956887529696e+01 6.127684736976301672e+00
1.172323900193513566e+02 7.620946133424060243e+00
1.508590708600178516e+02 7.476504911154155941e+00
1.941311548539712248e+02 1.007893539312228981e+01
2.498153082217129395e+02 1.101814363057790835e+01
3.214717816357377842e+02 1.192588881814348944e+01
4.136820402388503908e+02 1.472148307690939895e+01
6.850374047706322926e+02 1.924247390826055337e+01
8.815320268655840437e+02 1.866584227053285261e+01
