# L Rg
5.685411514875032601e+00 8.660254038244227237e-01
9.414765859678945858e+00 1.341640786550513775e+00
1.211527658628588000e+01 1.581138830037537302e+00
1.559039586856090409e+01 1.841678037836668613e+00
2.006231072046491803e+01 2.322250968318152697e+00
2.581693979022961472e+01 2.914387554511700174e+00
3.322221400212147557e+01 3.675173682369704320e+00
4.275160077727167618e+01 4.547650380646431678e+00
5.501437589025533725e+01 5.213071779161343677e+00
7.079457843841373688e+01 6.042912062917080718e+00
9.110113956887529696e+01 7.690238536840669603e+00
1.172323900193513566e+02 8.449233008850200122e+00
1.508590708600178516e+02 1.098624825330458421e+01
1.941311548539712248e+02 1.290478458241228843e+01
2.498153082217129395e+02 1.635634396002593149e+01
3.214717816357377842e+02 1.782020079912919286e+01
