# L Rg
5.685411514875032601e+00 8.660254037846679687e-01
9.414765859678945858e+00 1.342287868964377795e+00
1.211527658628588000e+01 1.685469520618842143e+00
1.559039586856090409e+01 1.794091489616534307e+00
2.006231072046491803e+01 2.206762684707979094e+00
2.581693979022961472e+01 2.764114858238468919e+00
3.322221400212147557e+01 3.069352359479327053e+00
4.275160077727167618e+01 3.833382696677670509e+00
5.501437589025533725e+01 4.184872414593979961e+00
7.079457843841373688e+01 5.428452020409365808e+00
9.110113956887529696e+01 6.141263681190003432e+00
1.172323900193513566e+02 6.991082998934566639e+00
1.508590708600178516e+02 7.588715015239525741e+00
1.941311548539712248e+02 8.341298798129416880e+00
2.498153082217129395e+02 9.944559620236772091e+00
3.214717816357377842e+02 1.119251870556001549e+01
4.136820402388503908e+02 1.475539479750589145e+01
8.815320268655840437e+02 2.081655504444868043e+01
