# L Rg
5.685411514875032601e+00 8.660254039054207098e-01
9.414765859678945858e+00 1.341450311310779631e+00
1.211527658628588000e+01 1.567525997697903906e+00
1.559039586856090409e+01 1.802146946193473820e+00
2.006231072046491803e+01 2.267711090567344989e+00
2.581693979022961472e+01 2.748641622138631391e+00
3.322221400212147557e+01 3.180443977189653548e+00
4.275160077727167618e+01 3.879633879427743626e+00
5.501437589025533725e+01 4.388914930040480833e+00
7.079457843841373688e+01 4.984411750748443559e+00
9.110113956887529696e+01 6.451111134611719145e+00
1.172323900193513566e+02 7.673206138344026428e+00
1.508590708600178516e+02 7.451732446369895513e+00
1.941311548539712248e+02 1.128819462125057349e+01
2.498153082217129395e+02 1.115205401370195304e+01
3.214717816357377842e+02 1.217885112101413547e+01
4.136820402388503908e+02 1.385404501557609613e+01
6.850374047706322926e+02 1.867875709095213921e+01
