# K=5
# r C
2.500000000000000000e-01 2.664534418022528328e-01
5.000000000000000000e-01 3.515967418546365741e-01
7.500000000000000000e-01 2.747555404841402482e-01
1.000000000000000000e+00 2.994297161936561036e-01
1.250000000000000000e+00 2.523582116026710787e-01
1.500000000000000000e+00 2.380488397328881511e-01
1.750000000000000000e+00 2.141945812465219645e-01
2.000000000000000000e+00 2.143261936560934833e-01
2.250000000000000000e+00 1.976821264607679374e-01
2.500000000000000000e+00 1.976151919866444007e-01
2.750000000000000000e+00 1.810415171118530953e-01
3.000000000000000000e+00 1.783747799362573883e-01
3.250000000000000000e+00 1.675821328391104148e-01
3.500000000000000000e+00 1.678322926447574359e-01
3.750000000000000000e+00 1.587856188886238862e-01
4.000000000000000000e+00 1.557915609348914932e-01
4.250000000000000000e+00 1.512396155050083624e-01
4.500000000000000000e+00 1.477948925292153493e-01
4.750000000000000000e+00 1.443707011686143349e-01
5.000000000000000000e+00 1.408888027665156084e-01
5.250000000000000000e+00 1.381294657762938138e-01
5.500000000000000000e+00 1.358810778380634410e-01
5.750000000000000000e+00 1.331700855592654609e-01
6.000000000000000000e+00 1.309473672787979937e-01
6.250000000000000000e+00 1.288564433911643659e-01
6.500000000000000000e+00 1.273753958901082672e-01
6.750000000000000000e+00 1.256841451438672208e-01
7.000000000000000000e+00 1.238366881310120071e-01
7.250000000000000000e+00 1.225807242350731713e-01
7.500000000000000000e+00 1.214437535571997601e-01
7.750000000000000000e+00 1.204141172787979996e-01
8.000000000000000000e+00 1.194105878218082867e-01
8.250000000000000000e+00 1.186212625208681176e-01
8.500000000000000000e+00 1.172453759293246578e-01
8.750000000000000000e+00 1.164759070932134127e-01
9.000000000000000000e+00 1.149285525186033302e-01
9.250000000000000000e+00 1.143403749835244509e-01
9.500000000000000000e+00 1.129760788920489700e-01
9.750000000000000000e+00 1.123758463179372891e-01
1.000000000000000000e+01 1.118131959237722434e-01
1.025000000000000000e+01 1.100861942523252979e-01
1.050000000000000000e+01 1.098205293276108691e-01
1.075000000000000000e+01 1.087075929343527536e-01
1.100000000000000000e+01 1.078412112932604777e-01
1.125000000000000000e+01 1.077805728376327737e-01
1.150000000000000000e+01 1.070693583724569575e-01
1.175000000000000000e+01 1.065533316633266586e-01
1.200000000000000000e+01 1.064983339753466929e-01
1.225000000000000000e+01 1.060451367488443736e-01
1.250000000000000000e+01 1.055272556390977334e-01
1.275000000000000000e+01 1.059163606010016800e-01
1.300000000000000000e+01 1.054868948247078414e-01
