# L PDF
1.053724972736073084e+01 4.593915969498311297e-02
1.169989106589065919e+01 1.398883327479845673e-01
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 4.276230196832072131e-03
1.601568264445835510e+01 1.996817798663644630e-02
1.778279410038922848e+01 3.485468443854437132e-02
1.974488212815936450e+01 3.659450550739735963e-02
2.192345972483446914e+01 2.196829762456668084e-02
2.434241355236920512e+01 1.162721002896849321e-02
2.702826583905163460e+01 2.301254612243739880e-02
3.001046517818873482e+01 9.855934057110367005e-03
3.332170941244817897e+01 1.544036274353749634e-02
3.699830414406963541e+01 1.104547871714739796e-02
4.108056080177274083e+01 7.853422678938876134e-03
4.561323862890213832e+01 8.437367009340017779e-03
5.064603543891708881e+01 4.801361600162128845e-03
5.623413251903490817e+01 5.351901847492466884e-03
6.243879965653627551e+01 3.452373437557516595e-03
6.932806692144527005e+01 3.483216322180810592e-03
7.697747057123714853e+01 2.315095824484282583e-03
8.547088125592514984e+01 2.486560971839140051e-03
9.490142360424729873e+01 9.292365260109139219e-04
1.053724972736073084e+02 1.606038606123507675e-03
1.169989106589065955e+02 7.838502638160745615e-04
1.299081396906348118e+02 6.561890398521004085e-04
1.442417255241066414e+02 4.450423379216749483e-04
1.601568264445835439e+02 4.320029308596784164e-04
1.778279410038922776e+02 3.430674150540959783e-04
1.974488212815936663e+02 2.234684191961818585e-04
2.192345972483447838e+02 1.545803357473653217e-04
2.434241355236920867e+02 1.489118703504354647e-04
2.702826583905163602e+02 1.174491245029072852e-04
3.001046517818873554e+02 8.443859385921750514e-05
3.332170941244818323e+02 6.253020466681855354e-05
3.699830414406964110e+02 7.238320760880874005e-05
4.108056080177276499e+02 4.497686271630829490e-05
4.561323862890214969e+02 4.809836607235299240e-05
5.064603543891709023e+02 2.087285473860785669e-05
5.623413251903490391e+02 2.337574722637233586e-05
6.243879965653625277e+02 2.438990189717241995e-05
6.932806692144527005e+02 1.750226701666792096e-05
7.697747057123714285e+02 1.106596697397921070e-05
8.547088125592514416e+02 1.183052365494401240e-05
9.490142360424729304e+02 8.201045087101180300e-06
1.053724972736073141e+03 7.269774606751341775e-06
1.169989106589066068e+03 8.668708229973967399e-06
1.299081396906347436e+03 6.840216447056465980e-06
1.442417255241065732e+03 1.826904107936215990e-06
1.601568264445835666e+03 1.358379454873214308e-06
1.778279410038923743e+03 9.649309514329064765e-07
1.974488212815937914e+03 4.500405664367593708e-07
2.192345972483447895e+03 1.118121777557796021e-07
2.434241355236920754e+03 1.258764753596242069e-07
2.702826583905163716e+03 9.069430463544967137e-08
3.001046517818873326e+03 0.000000000000000000e+00
3.332170941244818096e+03 0.000000000000000000e+00
3.699830414406963882e+03 0.000000000000000000e+00
4.108056080177274453e+03 0.000000000000000000e+00
4.561323862890215423e+03 0.000000000000000000e+00
5.064603543891711524e+03 0.000000000000000000e+00
5.623413251903493801e+03 0.000000000000000000e+00
6.243879965653628460e+03 0.000000000000000000e+00
6.932806692144527005e+03 0.000000000000000000e+00
7.697747057123714512e+03 0.000000000000000000e+00
8.547088125592514189e+03 0.000000000000000000e+00
9.490142360424730214e+03 0.000000000000000000e+00
1.053724972736072414e+04 0.000000000000000000e+00
1.169989106589065159e+04 0.000000000000000000e+00
1.299081396906347982e+04 0.000000000000000000e+00
1.442417255241066232e+04 0.000000000000000000e+00
1.601568264445835484e+04 0.000000000000000000e+00
1.778279410038924470e+04 0.000000000000000000e+00
1.974488212815938823e+04 0.000000000000000000e+00
2.192345972483446167e+04 0.000000000000000000e+00
2.434241355236919117e+04 0.000000000000000000e+00
2.702826583905164807e+04 0.000000000000000000e+00
3.001046517818875145e+04 0.000000000000000000e+00
3.332170941244816640e+04 0.000000000000000000e+00
3.699830414406962518e+04 0.000000000000000000e+00
4.108056080177275726e+04 0.000000000000000000e+00
4.561323862890215241e+04 0.000000000000000000e+00
5.064603543891708978e+04 0.000000000000000000e+00
5.623413251903496712e+04 0.000000000000000000e+00
6.243879965653631371e+04 0.000000000000000000e+00
6.932806692144523549e+04 0.000000000000000000e+00
7.697747057123709237e+04 0.000000000000000000e+00
8.547088125592518190e+04 0.000000000000000000e+00
9.490142360424734943e+04 0.000000000000000000e+00
1.053724972736073541e+05 0.000000000000000000e+00
1.169989106589066505e+05 0.000000000000000000e+00
1.299081396906348091e+05 0.000000000000000000e+00
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
