epsilon,three_zeros
0.7,0.122509960159363
0.7,0.133699633699634
0.7,0.0834617360041089
0.7,0.0980523841504365
0.7,0.0893839753053281
0.7,0.100323624595469
0.7,0.0710734918715572
0.7,0.0819914117015566
0.7,0.0889876144318794
0.7,0.0760650450208305
0.77,0.068586387434555
0.77,0.0959424083769634
0.77,0.0574607329842932
0.77,0.0548429319371728
0.77,0.0609947643979058
0.77,0.0599476439790576
0.77,0.068848167539267
0.77,0.0797120418848168
0.77,0.0830168914495221
0.77,0.0513465894789831
0.84,0.0610418664109939
0.84,0.0743029150823828
0.84,0.0824459503065505
0.84,0.0760024867889338
0.84,0.0660047545797791
0.99,0.0578309017402004
0.99,0.0604959722002843
0.99,0.0710017574692443
0.99,0.0509755668834593
0.99,0.0704621331927605
0.99,0.0511963406052076
0.99,0.0525535420098847
0.99,0.0455810716771051
0.99,0.0537785588752197
0.99,0.0738058285911364
1.07,0.149599869345092
1.07,0.109184864144024
1.07,0.160159494932713
1.07,0.115469788041759
1.07,0.0910529091228687
1.07,0.141066384180791
1.07,0.0942796610169492
1.07,0.103208036292936
1.07,0.175849322302412
1.07,0.137867338371117
1.14,0.0793786275179242
1.14,0.0590645271423694
1.14,0.0624390243902439
1.14,0.0547712195951692
1.14,0.0630108991825613
1.14,0.0566610455311973
1.14,0.0509369676320273
1.14,0.0576485872036375
1.14,0.0510325994196962
1.14,0.034106412005457
1.22,0.130815651158264
1.22,0.146293761001369
1.22,0.167088115152694
1.22,0.157117886968343
1.22,0.10174475593021
1.22,0.126231302444363
1.22,0.124878617207225
1.22,0.124566139606633
1.22,0.170458927882761
1.22,0.130929425376012
1.3,0.118790496760259
1.3,0.103149160852348
1.3,0.083349047708844
1.3,0.0680746747124269
1.3,0.0801433151046577
1.3,0.0884405053743164
1.3,0.0626060720346973
1.3,0.0780690175372431
1.3,0.142398489140699
1.3,0.0912181303116147
1.37,0.150744015527281
1.37,0.151688609044076
1.37,0.125593439792836
1.37,0.0810450038138825
1.37,0.158287509819324
1.37,0.107158257869771
1.37,0.0595678411524236
1.37,0.110524091293322
1.37,0.128386336866902
1.37,0.178746808092713
1.44,0.0828528720905402
1.44,0.0691864189622037
1.44,0.0659833440102498
1.44,0.0673407096528043
1.44,0.0653427290198591
1.44,0.0846872461413485
1.44,0.066007310255859
0.66,0.131825385391154
0.66,0.0765797182312735
0.66,0.113756993257782
0.66,0.102725968436155
0.66,0.0831357232528944
0.66,0.113303891802374
0.66,0.0951058201058201
0.66,0.0611923187159645
0.66,0.0917168243049584
0.66,0.109916881627974
0.74,0.0926966292134832
0.74,0.114319387153801
0.74,0.0842181818181818
0.74,0.0856446205425175
0.74,0.0878123691190842
0.74,0.0644604316546763
0.74,0.0896440603486158
0.74,0.108245962028903
0.74,0.0826629680998613
0.74,0.11847714243716
