# L Rg
1.053724972736073084e+01 1.341639999998786026e+00
1.169989106589065919e+01 1.581139999999999990e+00
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.714934764773530906e+00
1.601568264445835510e+01 1.945550000000000557e+00
1.778279410038922848e+01 1.985694899251291723e+00
1.974488212815936450e+01 2.295237142857142754e+00
2.192345972483446914e+01 2.408825750703267765e+00
2.434241355236920512e+01 2.623442499999999900e+00
2.702826583905163460e+01 2.560813242445674209e+00
3.001046517818873482e+01 2.785709550046468141e+00
3.332170941244817897e+01 3.100144256658176722e+00
3.699830414406963541e+01 3.271725360858231291e+00
4.108056080177274083e+01 3.456148007235084307e+00
4.561323862890213832e+01 3.719849443594763994e+00
5.064603543891708881e+01 3.893532997210946700e+00
5.623413251903490817e+01 4.152032963182799463e+00
6.243879965653627551e+01 4.458722904811144971e+00
6.932806692144527005e+01 4.701070531624663040e+00
7.697747057123714853e+01 5.055864915032682205e+00
8.547088125592514984e+01 5.465508632837928538e+00
9.490142360424729873e+01 5.862403991269450110e+00
1.053724972736073084e+02 6.231019857464386469e+00
1.169989106589065955e+02 6.685087653742543878e+00
1.299081396906348118e+02 7.078206551527244095e+00
1.442417255241066414e+02 7.567368946506567440e+00
1.601568264445835439e+02 8.097800038367644504e+00
1.778279410038922776e+02 8.673525953300556424e+00
1.974488212815936663e+02 9.254589058384551592e+00
2.192345972483447838e+02 9.892719722592088871e+00
2.434241355236920867e+02 1.054834053991962861e+01
2.702826583905163602e+02 1.128429276849639962e+01
3.001046517818873554e+02 1.207251077065353506e+01
3.332170941244818323e+02 1.296039651578947272e+01
3.699830414406964110e+02 1.378315640726332703e+01
4.108056080177276499e+02 1.471810632258060281e+01
4.561323862890214969e+02 1.579615098321343147e+01
5.064603543891709023e+02 1.684173660864682631e+01
5.623413251903490391e+02 1.801547481927710948e+01
6.243879965653625277e+02 1.918157368779822747e+01
6.932806692144527005e+02 2.061292330235881565e+01
7.697747057123714285e+02 2.209644567116759362e+01
8.547088125592514416e+02 2.365528115799804709e+01
9.490142360424729304e+02 2.533253074626864176e+01
1.053724972736073141e+03 2.705784150110378050e+01
1.169989106589066068e+03 2.893392033462032842e+01
1.299081396906347436e+03 3.078878844375960000e+01
1.442417255241065732e+03 3.297091054421767353e+01
1.601568264445835666e+03 3.512817876447877552e+01
1.778279410038923743e+03 3.762770970464136155e+01
1.974488212815937914e+03 3.946613243967829732e+01
2.192345972483447895e+03 4.286953422619048126e+01
2.434241355236920754e+03 4.567164829059829856e+01
2.702826583905163716e+03 4.956928325123151780e+01
3.001046517818873326e+03 5.202904771241828286e+01
3.332170941244818096e+03 5.592607142857142577e+01
3.699830414406963882e+03 5.917740210526316247e+01
4.108056080177274453e+03 6.276526507936508636e+01
4.561323862890215423e+03 6.720035238095236707e+01
5.064603543891711524e+03 7.295934250000001953e+01
5.623413251903493801e+03 7.641065555555555022e+01
6.243879965653628460e+03 8.641666999999998211e+01
6.932806692144527005e+03 9.114860000000000184e+01
7.697747057123714512e+03 1.002218444444444572e+02
8.547088125592514189e+03 9.552000000000001023e+01
9.490142360424730214e+03 nan
1.053724972736072414e+04 nan
1.169989106589065159e+04 nan
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
