# L Rg
1.053724972736073084e+01 1.341639999998943233e+00
1.169989106589065919e+01 nan
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.714969723159329051e+00
1.601568264445835510e+01 nan
1.778279410038922848e+01 1.985873861232721138e+00
1.974488212815936450e+01 nan
2.192345972483446914e+01 2.408955687370057053e+00
2.434241355236920512e+01 nan
2.702826583905163460e+01 2.561847604775328247e+00
3.001046517818873482e+01 2.784466590179360157e+00
3.332170941244817897e+01 3.091210250061520171e+00
3.699830414406963541e+01 3.272295866477207937e+00
4.108056080177274083e+01 3.458850389035328821e+00
4.561323862890213832e+01 3.714298509083314936e+00
5.064603543891708881e+01 3.892740196936549157e+00
5.623413251903490817e+01 4.152858924270829810e+00
6.243879965653627551e+01 4.457298063943166078e+00
6.932806692144527005e+01 4.697320651689926407e+00
7.697747057123714853e+01 5.051410906031589931e+00
8.547088125592514984e+01 5.459409762016950829e+00
9.490142360424729873e+01 5.879464607058826786e+00
1.053724972736073084e+02 6.241127425851319188e+00
1.169989106589065955e+02 6.674968723969879392e+00
1.299081396906348118e+02 7.126611779420119142e+00
1.442417255241066414e+02 7.549540838943545218e+00
1.601568264445835439e+02 8.079471641497042000e+00
1.778279410038922776e+02 8.646739959322031766e+00
1.974488212815936663e+02 9.301371652613823926e+00
2.192345972483447838e+02 9.891018505154642426e+00
2.434241355236920867e+02 1.054618841304347221e+01
2.702826583905163602e+02 1.123705993788819413e+01
3.001046517818873554e+02 1.200388734028682691e+01
3.332170941244818323e+02 1.285011656903766664e+01
3.699830414406964110e+02 1.371976863799283741e+01
4.108056080177276499e+02 1.469053784277878805e+01
4.561323862890214969e+02 1.570068615071281037e+01
5.064603543891709023e+02 1.683085822222224337e+01
5.623413251903490391e+02 1.826924097560975468e+01
6.243879965653625277e+02 1.920092685714284642e+01
6.932806692144527005e+02 2.081028167202574153e+01
7.697747057123714285e+02 2.206385042735043456e+01
8.547088125592514416e+02 2.339611807228915907e+01
9.490142360424729304e+02 2.529802170212765944e+01
1.053724972736073141e+03 2.688882672811060814e+01
1.169989106589066068e+03 2.866404840425530764e+01
1.299081396906347436e+03 3.094855521472391757e+01
1.442417255241065732e+03 3.365138079470198562e+01
1.601568264445835666e+03 3.579393619631900947e+01
1.778279410038923743e+03 3.804386581196581574e+01
1.974488212815937914e+03 3.926115172413795307e+01
2.192345972483447895e+03 4.265462660550458907e+01
2.434241355236920754e+03 4.404849999999999000e+01
2.702826583905163716e+03 4.827323809523808507e+01
3.001046517818873326e+03 5.278719999999998436e+01
3.332170941244818096e+03 5.303904090909090741e+01
3.699830414406963882e+03 6.133455714285715032e+01
4.108056080177274453e+03 6.532183333333334474e+01
4.561323862890215423e+03 6.701480909090911098e+01
5.064603543891711524e+03 6.209492500000000348e+01
5.623413251903493801e+03 7.481749999999999545e+01
6.243879965653628460e+03 nan
6.932806692144527005e+03 nan
7.697747057123714512e+03 nan
8.547088125592514189e+03 nan
9.490142360424730214e+03 nan
1.053724972736072414e+04 nan
1.169989106589065159e+04 nan
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
