# L Rg
1.053724972736073084e+01 1.341639999999992616e+00
1.169989106589065919e+01 nan
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.715183836748096269e+00
1.601568264445835510e+01 nan
1.778279410038922848e+01 1.995377817063859638e+00
1.974488212815936450e+01 nan
2.192345972483446914e+01 2.418514366391174786e+00
2.434241355236920512e+01 nan
2.702826583905163460e+01 2.552952779156314023e+00
3.001046517818873482e+01 2.797217823033695261e+00
3.332170941244817897e+01 3.131942047477746627e+00
3.699830414406963541e+01 3.265792446483182232e+00
4.108056080177274083e+01 3.507955935483869414e+00
4.561323862890213832e+01 3.712096746987952223e+00
5.064603543891708881e+01 3.904263397435895566e+00
5.623413251903490817e+01 4.187616406249999201e+00
6.243879965653627551e+01 4.583652000000001614e+00
6.932806692144527005e+01 4.750706874999998774e+00
7.697747057123714853e+01 5.046803125000001167e+00
8.547088125592514984e+01 5.503194295774648026e+00
9.490142360424729873e+01 5.877604347826086872e+00
1.053724972736073084e+02 6.286454382022474086e+00
1.169989106589065955e+02 6.703608732394365610e+00
1.299081396906348118e+02 7.080114857142856266e+00
1.442417255241066414e+02 7.647009833333332729e+00
1.601568264445835439e+02 8.254096599999998674e+00
1.778279410038922776e+02 8.933609791666667022e+00
1.974488212815936663e+02 9.793174186046513796e+00
2.192345972483447838e+02 9.903208461538458351e+00
2.434241355236920867e+02 1.061921823529411846e+01
2.702826583905163602e+02 1.135846672131147450e+01
3.001046517818873554e+02 1.197662244897959560e+01
3.332170941244818323e+02 1.288382559322034382e+01
3.699830414406964110e+02 1.375594418604651104e+01
4.108056080177276499e+02 1.386774999999999913e+01
4.561323862890214969e+02 1.450393750000000104e+01
5.064603543891709023e+02 1.481588333333333196e+01
5.623413251903490391e+02 nan
6.243879965653625277e+02 nan
6.932806692144527005e+02 nan
7.697747057123714285e+02 nan
8.547088125592514416e+02 nan
9.490142360424729304e+02 nan
1.053724972736073141e+03 nan
1.169989106589066068e+03 nan
1.299081396906347436e+03 nan
1.442417255241065732e+03 nan
1.601568264445835666e+03 nan
1.778279410038923743e+03 nan
1.974488212815937914e+03 nan
2.192345972483447895e+03 nan
2.434241355236920754e+03 nan
2.702826583905163716e+03 nan
3.001046517818873326e+03 nan
3.332170941244818096e+03 nan
3.699830414406963882e+03 nan
4.108056080177274453e+03 nan
4.561323862890215423e+03 nan
5.064603543891711524e+03 nan
5.623413251903493801e+03 nan
6.243879965653628460e+03 nan
6.932806692144527005e+03 nan
7.697747057123714512e+03 nan
8.547088125592514189e+03 nan
9.490142360424730214e+03 nan
1.053724972736072414e+04 nan
1.169989106589065159e+04 nan
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
