# Jc h
2.000000000000000000e+00 8.362899999999999778e+00
1.500000000000000000e+00 8.529640000000000555e+00
1.000000000000000000e+00 8.203920000000000101e+00
5.000000000000000000e-01 8.438940000000000552e+00
0.000000000000000000e+00 3.891379999999999839e+00
-5.000000000000000000e-01 1.231360000000000010e+00
-1.000000000000000000e+00 1.318359999999999976e+00
-1.500000000000000000e+00 1.318719999999999892e+00
-2.000000000000000000e+00 1.320659999999999945e+00
