# r C
7.500000000000000000e-01 2.272247043888284412e-01
1.500000000000000000e+00 1.529951191004586541e-01
2.250000000000000000e+00 1.092143147973609896e-01
2.500000000000000000e+00 1.057192641759908958e-01
3.000000000000000000e+00 9.022180229682949526e-02
3.250000000000000000e+00 8.003188930557351977e-02
3.750000000000000000e+00 8.389297393015247850e-02
4.250000000000000000e+00 6.838460774577953538e-02
4.500000000000000000e+00 7.720634053430905364e-02
4.750000000000000000e+00 6.927036237004138841e-02
5.000000000000000000e+00 6.292729810298103299e-02
5.250000000000000000e+00 6.965596144973600079e-02
5.500000000000000000e+00 5.865297353184450307e-02
6.000000000000000000e+00 5.957916904004020853e-02
6.500000000000000000e+00 5.269590471148755811e-02
6.750000000000000000e+00 5.351063532154653329e-02
7.000000000000000000e+00 4.836239395574743610e-02
7.250000000000000000e+00 4.817933970744463223e-02
7.500000000000000000e+00 4.910792023258671313e-02
7.750000000000000000e+00 4.520266431407145985e-02
8.250000000000000000e+00 4.491349594705138643e-02
8.500000000000000000e+00 4.124203108941418283e-02
8.750000000000000000e+00 3.994300919096788888e-02
9.000000000000000000e+00 3.991807096774193514e-02
9.250000000000000000e+00 3.871824500635030752e-02
9.500000000000000000e+00 3.686906960556844692e-02
9.750000000000000000e+00 3.554129846550310723e-02
1.000000000000000000e+01 3.290078491818828471e-02
1.025000000000000000e+01 3.334775523045462042e-02
1.050000000000000000e+01 3.316842998416539429e-02
1.075000000000000000e+01 3.125198359469240350e-02
1.100000000000000000e+01 3.086588836191170998e-02
1.125000000000000000e+01 2.969849942417485469e-02
1.150000000000000000e+01 2.818462976721149149e-02
1.175000000000000000e+01 2.743996999999999756e-02
1.200000000000000000e+01 2.750308787407890199e-02
1.225000000000000000e+01 2.650933767422932255e-02
1.250000000000000000e+01 2.597290821501014452e-02
1.275000000000000000e+01 2.536161729840898105e-02
1.300000000000000000e+01 2.458037988478904007e-02
1.325000000000000000e+01 2.392231716229130042e-02
1.350000000000000000e+01 2.349836939879554679e-02
1.375000000000000000e+01 2.282736913335589243e-02
1.400000000000000000e+01 2.219992448080554057e-02
1.425000000000000000e+01 2.176047747650426689e-02
1.450000000000000000e+01 2.107305676855895232e-02
1.475000000000000000e+01 2.096342867636931395e-02
1.500000000000000000e+01 2.036760999783492412e-02
1.525000000000000000e+01 1.988761102689349039e-02
1.550000000000000000e+01 1.945633022827310959e-02
1.575000000000000000e+01 1.901658584451760073e-02
1.600000000000000000e+01 1.843647434976289703e-02
1.625000000000000000e+01 1.785099796728293470e-02
1.650000000000000000e+01 1.773057800212761437e-02
1.675000000000000000e+01 1.734399264705882224e-02
1.700000000000000000e+01 1.697719135251027356e-02
1.725000000000000000e+01 1.657396356064549936e-02
1.750000000000000000e+01 1.620485835940215641e-02
1.775000000000000000e+01 1.588673411286222609e-02
1.800000000000000000e+01 1.552027148744529982e-02
1.825000000000000000e+01 1.516578960551033181e-02
1.850000000000000000e+01 1.503674953918086692e-02
1.875000000000000000e+01 1.455928280315460857e-02
1.900000000000000000e+01 1.422531870428422017e-02
1.925000000000000000e+01 1.412994495888104593e-02
1.950000000000000000e+01 1.386987574541906007e-02
1.975000000000000000e+01 1.353380792316926859e-02
2.000000000000000000e+01 1.321886249581800087e-02
2.025000000000000000e+01 1.289703620720559184e-02
2.050000000000000000e+01 1.281060650004265181e-02
2.075000000000000000e+01 1.248980486898346003e-02
2.100000000000000000e+01 1.229850206749366452e-02
2.125000000000000000e+01 1.215420712729536196e-02
2.150000000000000000e+01 1.166365147179869097e-02
2.175000000000000000e+01 1.155260273157377934e-02
2.200000000000000000e+01 1.119820261568611926e-02
2.225000000000000000e+01 1.106710622710622635e-02
2.250000000000000000e+01 1.095527401419806035e-02
2.275000000000000000e+01 1.073448615537436410e-02
2.300000000000000000e+01 1.064921594311377291e-02
2.325000000000000000e+01 1.028430331795797403e-02
