# r C
7.500000000000000000e-01 2.323422125498730284e-01
1.500000000000000000e+00 1.604722444148542759e-01
2.250000000000000000e+00 1.126493345900094201e-01
2.500000000000000000e+00 1.121397762184714458e-01
3.000000000000000000e+00 9.369678333974394702e-02
3.250000000000000000e+00 8.033040217250743409e-02
3.750000000000000000e+00 8.552022921790458643e-02
4.250000000000000000e+00 6.972010724925521707e-02
4.500000000000000000e+00 7.914162097137987517e-02
4.750000000000000000e+00 7.006603209851619551e-02
5.000000000000000000e+00 6.358267750677507046e-02
5.250000000000000000e+00 7.208791818321627631e-02
5.500000000000000000e+00 5.977001654259718466e-02
6.000000000000000000e+00 6.133700675713408407e-02
6.500000000000000000e+00 5.322183165696135754e-02
6.750000000000000000e+00 5.410322362541286623e-02
7.000000000000000000e+00 4.835616189962223949e-02
7.250000000000000000e+00 4.830433112691018965e-02
7.500000000000000000e+00 4.893643257851848505e-02
7.750000000000000000e+00 4.530007940008822648e-02
8.250000000000000000e+00 4.484283483304826734e-02
8.500000000000000000e+00 4.094639645426515623e-02
8.750000000000000000e+00 3.920181776920458883e-02
9.000000000000000000e+00 3.991712903225805992e-02
9.250000000000000000e+00 3.745805103336796726e-02
9.500000000000000000e+00 3.633372969837586619e-02
9.750000000000000000e+00 3.577089668501815672e-02
1.000000000000000000e+01 3.266817642874081384e-02
1.025000000000000000e+01 3.261343715589114234e-02
1.050000000000000000e+01 3.322341728660632015e-02
1.075000000000000000e+01 3.084591942098914227e-02
1.100000000000000000e+01 3.054774413231180902e-02
1.125000000000000000e+01 2.959043591188650207e-02
1.150000000000000000e+01 2.784054358593362685e-02
1.175000000000000000e+01 2.727545250000000185e-02
1.200000000000000000e+01 2.730415309038046814e-02
1.225000000000000000e+01 2.618338182928070176e-02
1.250000000000000000e+01 2.530869421906693784e-02
1.275000000000000000e+01 2.508642520494730119e-02
1.300000000000000000e+01 2.410597540090300347e-02
1.325000000000000000e+01 2.348946652425656229e-02
1.350000000000000000e+01 2.313717617638052712e-02
1.375000000000000000e+01 2.205676833099714726e-02
1.400000000000000000e+01 2.171317630135754725e-02
1.425000000000000000e+01 2.132626768931619038e-02
1.450000000000000000e+01 2.041947234352256210e-02
1.475000000000000000e+01 2.033055782562783950e-02
1.500000000000000000e+01 1.984212850922562402e-02
1.525000000000000000e+01 1.922127112458592996e-02
1.550000000000000000e+01 1.859249667314976165e-02
1.575000000000000000e+01 1.848578690807799532e-02
1.600000000000000000e+01 1.777831728696651833e-02
1.625000000000000000e+01 1.736377698189913929e-02
1.650000000000000000e+01 1.729030933856198424e-02
1.675000000000000000e+01 1.671172058823529316e-02
1.700000000000000000e+01 1.648179024477398544e-02
1.725000000000000000e+01 1.611751639770952690e-02
1.750000000000000000e+01 1.569635992353145618e-02
1.775000000000000000e+01 1.525492425012709569e-02
1.800000000000000000e+01 1.514447083315630625e-02
1.825000000000000000e+01 1.465579962429555509e-02
1.850000000000000000e+01 1.442455873758036189e-02
1.875000000000000000e+01 1.413337902927009997e-02
1.900000000000000000e+01 1.360580517821897116e-02
1.925000000000000000e+01 1.348761380560771841e-02
1.950000000000000000e+01 1.341843434891033283e-02
1.975000000000000000e+01 1.292218067226890733e-02
2.000000000000000000e+01 1.248409668785546885e-02
2.025000000000000000e+01 1.237303011292346412e-02
2.050000000000000000e+01 1.212892433677386327e-02
2.075000000000000000e+01 1.187276342687232887e-02
2.100000000000000000e+01 1.183684762794006556e-02
2.125000000000000000e+01 1.157769841269841275e-02
2.150000000000000000e+01 1.117370516991337756e-02
2.175000000000000000e+01 1.100803761121195087e-02
2.200000000000000000e+01 1.071763308402991742e-02
2.225000000000000000e+01 1.067256288156288001e-02
2.250000000000000000e+01 1.042997214834670040e-02
2.275000000000000000e+01 1.029006332519349400e-02
2.300000000000000000e+01 1.010252245508982093e-02
2.325000000000000000e+01 9.818498562738151372e-03
2.350000000000000000e+01 9.588508361848763553e-03
2.375000000000000000e+01 9.271140034364260332e-03
2.400000000000000000e+01 9.370844383057089222e-03
2.425000000000000000e+01 8.972148611172250932e-03
2.450000000000000000e+01 8.862765884373211694e-03
2.475000000000000000e+01 8.739325735539553788e-03
2.500000000000000000e+01 8.540940366972477049e-03
2.525000000000000000e+01 8.284004644101098172e-03
2.550000000000000000e+01 8.374274504731724425e-03
2.575000000000000000e+01 8.225898649658676398e-03
2.600000000000000000e+01 7.980619639794166859e-03
2.625000000000000000e+01 7.814266270725067631e-03
2.650000000000000000e+01 7.739365079365079399e-03
2.675000000000000000e+01 7.551138742812207351e-03
2.700000000000000000e+01 7.418261806428442899e-03
2.725000000000000000e+01 7.366172045670004928e-03
2.750000000000000000e+01 7.250293219303604458e-03
2.775000000000000000e+01 6.941306166718314019e-03
2.800000000000000000e+01 6.898600674562710769e-03
2.825000000000000000e+01 6.772742350586217173e-03
2.850000000000000000e+01 6.659467445073310315e-03
2.875000000000000000e+01 6.552074690841011746e-03
2.900000000000000000e+01 6.494926224562558477e-03
2.925000000000000000e+01 6.233168891302483076e-03
2.950000000000000000e+01 6.200240534067165583e-03
2.975000000000000000e+01 6.179616494682322637e-03
3.000000000000000000e+01 5.931768247250618006e-03
3.025000000000000000e+01 5.958735789955302287e-03
3.050000000000000000e+01 5.884111230603779157e-03
3.075000000000000000e+01 5.571777426284851148e-03
3.100000000000000000e+01 5.604219923331407553e-03
3.125000000000000000e+01 5.434798307173085812e-03
3.150000000000000000e+01 5.383398703581629766e-03
3.175000000000000000e+01 5.307815459431789069e-03
3.200000000000000000e+01 5.273585813580466790e-03
3.225000000000000000e+01 4.984974439003390587e-03
