# r C
7.500000000000000000e-01 3.314402901704751048e-01
1.500000000000000000e+00 2.889663722444148486e-01
2.250000000000000000e+00 2.596531215834118611e-01
2.500000000000000000e+00 2.604252266262089832e-01
3.000000000000000000e+00 2.328066575086543133e-01
3.250000000000000000e+00 2.117037372300530074e-01
3.750000000000000000e+00 2.080071126414166360e-01
4.250000000000000000e+00 1.940121271102283884e-01
4.500000000000000000e+00 1.918925978647686992e-01
4.750000000000000000e+00 1.844586272332693899e-01
5.000000000000000000e+00 1.723775663956639559e-01
5.250000000000000000e+00 1.772027825908648047e-01
5.500000000000000000e+00 1.665011786600496257e-01
6.000000000000000000e+00 1.631872647567990109e-01
6.500000000000000000e+00 1.558312715722604547e-01
6.750000000000000000e+00 1.524775309889255803e-01
7.000000000000000000e+00 1.499262255801403210e-01
7.250000000000000000e+00 1.449175271716924007e-01
7.500000000000000000e+00 1.450622619876335839e-01
7.750000000000000000e+00 1.401939093515659485e-01
8.250000000000000000e+00 1.373281423365806664e-01
8.500000000000000000e+00 1.325177582219938255e-01
8.750000000000000000e+00 1.324465108362646026e-01
9.000000000000000000e+00 1.298391602150537616e-01
9.250000000000000000e+00 1.281422768733402606e-01
9.500000000000000000e+00 1.246681484918793492e-01
9.750000000000000000e+00 1.233438321424387835e-01
1.000000000000000000e+01 1.202990799146312628e-01
1.025000000000000000e+01 1.169013056473179185e-01
1.050000000000000000e+01 1.189676758985390437e-01
1.075000000000000000e+01 1.158045336550060367e-01
1.100000000000000000e+01 1.155207126352912617e-01
1.125000000000000000e+01 1.129193026389943982e-01
1.150000000000000000e+01 1.106109707776126716e-01
1.175000000000000000e+01 1.089993525000000074e-01
1.200000000000000000e+01 1.082418822998646446e-01
1.225000000000000000e+01 1.068033299420083487e-01
1.250000000000000000e+01 1.042548706896551797e-01
1.275000000000000000e+01 1.042267399811477174e-01
1.300000000000000000e+01 1.024040344594945168e-01
1.325000000000000000e+01 1.007753982798358511e-01
1.350000000000000000e+01 1.002382969276309072e-01
1.375000000000000000e+01 9.802738363381507947e-02
1.400000000000000000e+01 9.696598939135124551e-02
1.425000000000000000e+01 9.626007291779195563e-02
1.450000000000000000e+01 9.471401928675400594e-02
1.475000000000000000e+01 9.359952068316422513e-02
1.500000000000000000e+01 9.317270802761673520e-02
1.525000000000000000e+01 9.144604794789737423e-02
1.550000000000000000e+01 9.007611321527279891e-02
1.575000000000000000e+01 8.956011648518612256e-02
1.600000000000000000e+01 8.819652464434545036e-02
1.625000000000000000e+01 8.643747749491820231e-02
1.650000000000000000e+01 8.657368849210488049e-02
1.675000000000000000e+01 8.545495000000000174e-02
1.700000000000000000e+01 8.444241557977487378e-02
1.725000000000000000e+01 8.343376470588234617e-02
1.750000000000000000e+01 8.249294316996871879e-02
1.775000000000000000e+01 8.129161972547026271e-02
1.800000000000000000e+01 8.071168160768152355e-02
1.825000000000000000e+01 7.965583093299936912e-02
1.850000000000000000e+01 7.882839545025401018e-02
1.875000000000000000e+01 7.808105330016408552e-02
1.900000000000000000e+01 7.659458376872169127e-02
1.925000000000000000e+01 7.630776015022987246e-02
1.950000000000000000e+01 7.580027062777838776e-02
1.975000000000000000e+01 7.442889555822329584e-02
2.000000000000000000e+01 7.384365005018400652e-02
2.025000000000000000e+01 7.296539478401146972e-02
2.050000000000000000e+01 7.249173931587477027e-02
2.075000000000000000e+01 7.107996407111441539e-02
2.100000000000000000e+01 7.107802454315059748e-02
2.125000000000000000e+01 7.042588546529723881e-02
2.150000000000000000e+01 6.896810488770430125e-02
2.175000000000000000e+01 6.872828934448180216e-02
2.200000000000000000e+01 6.767598048234212127e-02
2.225000000000000000e+01 6.728804273504274125e-02
2.250000000000000000e+01 6.657861453730655465e-02
2.275000000000000000e+01 6.578007615578825018e-02
2.300000000000000000e+01 6.577976796407185300e-02
2.325000000000000000e+01 6.447132116674465785e-02
2.350000000000000000e+01 6.394453805002650593e-02
2.375000000000000000e+01 6.307740378006872206e-02
2.400000000000000000e+01 6.287964686924493729e-02
2.425000000000000000e+01 6.188166131091252936e-02
2.450000000000000000e+01 6.111591413852318633e-02
2.475000000000000000e+01 6.095635830432501873e-02
2.500000000000000000e+01 5.998630652031454458e-02
2.525000000000000000e+01 5.909822273823345240e-02
2.550000000000000000e+01 5.942981655133759700e-02
2.575000000000000000e+01 5.845303104290198309e-02
2.600000000000000000e+01 5.791058176100628840e-02
2.625000000000000000e+01 5.736462014352882582e-02
2.650000000000000000e+01 5.685962576466355167e-02
2.675000000000000000e+01 5.586178208089644798e-02
2.700000000000000000e+01 5.616283251673806487e-02
2.725000000000000000e+01 5.536060920819421693e-02
2.750000000000000000e+01 5.481128894318875594e-02
2.775000000000000000e+01 5.421300175601694027e-02
2.800000000000000000e+01 5.364887206839752398e-02
2.825000000000000000e+01 5.276163911924506428e-02
2.850000000000000000e+01 5.308538036454386877e-02
2.875000000000000000e+01 5.246944277479430319e-02
2.900000000000000000e+01 5.156675113817124623e-02
2.925000000000000000e+01 5.133062737588246771e-02
2.950000000000000000e+01 5.090572695306527784e-02
2.975000000000000000e+01 5.012273672557623905e-02
3.000000000000000000e+01 5.052448067236908757e-02
3.025000000000000000e+01 4.936903600464576103e-02
3.050000000000000000e+01 4.923217698571209777e-02
3.075000000000000000e+01 4.868699119431525724e-02
3.100000000000000000e+01 4.783637137005723738e-02
3.125000000000000000e+01 4.734383350297315801e-02
3.150000000000000000e+01 4.782626455724016401e-02
3.175000000000000000e+01 4.740159841310468553e-02
3.200000000000000000e+01 4.626134022455889727e-02
3.225000000000000000e+01 4.626372544799010195e-02
3.250000000000000000e+01 4.577832314322942409e-02
3.275000000000000000e+01 4.496644955670162785e-02
3.300000000000000000e+01 4.533734195099955316e-02
3.325000000000000000e+01 4.469924111731843341e-02
3.350000000000000000e+01 4.461816555445122234e-02
3.375000000000000000e+01 4.375824074074073644e-02
3.400000000000000000e+01 4.347746407438715655e-02
3.425000000000000000e+01 4.328592149830643582e-02
3.450000000000000000e+01 4.306733080110497491e-02
3.475000000000000000e+01 4.252523687580025274e-02
3.500000000000000000e+01 4.230923682375211520e-02
3.525000000000000000e+01 4.180456453740342970e-02
3.550000000000000000e+01 4.126139010451526645e-02
3.575000000000000000e+01 4.108755090083492101e-02
3.600000000000000000e+01 4.115360831294289506e-02
3.625000000000000000e+01 4.055662113941183727e-02
3.650000000000000000e+01 4.028727259816800715e-02
3.675000000000000000e+01 3.993972112782212536e-02
3.700000000000000000e+01 3.957433850787766411e-02
3.725000000000000000e+01 3.902966135458166980e-02
3.750000000000000000e+01 3.925583063496469044e-02
3.775000000000000000e+01 3.890540548278577371e-02
3.800000000000000000e+01 3.853302644197835469e-02
3.825000000000000000e+01 3.800800832872987256e-02
3.850000000000000000e+01 3.810047980049875022e-02
3.875000000000000000e+01 3.757734949903174249e-02
3.900000000000000000e+01 3.740716381578947092e-02
3.925000000000000000e+01 3.735805702621675106e-02
3.950000000000000000e+01 3.693494979326639172e-02
3.975000000000000000e+01 3.647235306122448978e-02
4.000000000000000000e+01 3.597665587359150097e-02
4.025000000000000000e+01 3.645927567941040920e-02
4.050000000000000000e+01 3.598472117124527220e-02
4.075000000000000000e+01 3.559093967517401591e-02
4.100000000000000000e+01 3.563854263102881476e-02
4.125000000000000000e+01 3.516050444285004350e-02
4.150000000000000000e+01 3.487359172432323573e-02
4.175000000000000000e+01 3.460164817749603744e-02
4.200000000000000000e+01 3.467301769113089599e-02
4.225000000000000000e+01 3.449862284028655524e-02
4.250000000000000000e+01 3.422338983050847439e-02
4.275000000000000000e+01 3.355996350579786708e-02
4.300000000000000000e+01 3.409725109988594183e-02
4.325000000000000000e+01 3.378326655402687229e-02
4.350000000000000000e+01 3.315435140058090729e-02
4.375000000000000000e+01 3.371567372328684864e-02
4.400000000000000000e+01 3.312752009296020261e-02
4.425000000000000000e+01 3.227254659345758087e-02
4.450000000000000000e+01 3.271551724137931189e-02
4.475000000000000000e+01 3.334567301857021410e-02
4.500000000000000000e+01 3.689065473721632460e-02
