# L PDF
1.053724972736073084e+01 2.456168638941197413e-01
1.169989106589065919e+01 7.039308790953079868e-05
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 1.279508003634675650e-01
1.601568264445835510e+01 4.751239883285246767e-05
1.778279410038922848e+01 7.121040681694676411e-02
1.974488212815936450e+01 4.109254555568770794e-05
2.192345972483446914e+01 2.533847754736266722e-02
2.434241355236920512e+01 2.573613286722729353e-05
2.702826583905163460e+01 2.050810244693294926e-02
3.001046517818873482e+01 1.299792236088617194e-02
3.332170941244817897e+01 7.875715401937996921e-03
3.699830414406963541e+01 6.361557893489569980e-03
4.108056080177274083e+01 4.634817429990500948e-03
4.561323862890213832e+01 3.186092221047620056e-03
5.064603543891708881e+01 2.552486056845387850e-03
5.623413251903490817e+01 3.585031418961283009e-03
6.243879965653627551e+01 1.317227021656859707e-03
6.932806692144527005e+01 1.934858161491582280e-03
7.697747057123714853e+01 1.367741005640362535e-03
8.547088125592514984e+01 1.418752196771263683e-03
9.490142360424729873e+01 6.755135545746042110e-04
1.053724972736073084e+02 7.405333923728292479e-04
1.169989106589065955e+02 5.320359211982313413e-04
1.299081396906348118e+02 3.883391376652173569e-04
1.442417255241066414e+02 3.772175918531516154e-04
1.601568264445835439e+02 2.712309209677006105e-04
1.778279410038922776e+02 2.428518007813494162e-04
1.974488212815936663e+02 1.752353298612019774e-04
2.192345972483447838e+02 1.514585136601479844e-04
2.434241355236920867e+02 1.102824678888576077e-04
2.702826583905163602e+02 9.373798359597513576e-05
3.001046517818873554e+02 7.793641496454318976e-05
3.332170941244818323e+02 6.215316919333893110e-05
3.699830414406964110e+02 4.512759556347899610e-05
4.108056080177276499e+02 4.098909225611105888e-05
4.561323862890214969e+02 3.152593196538698458e-05
5.064603543891709023e+02 2.529164523070658746e-05
5.623413251903490391e+02 2.119694864202674033e-05
6.243879965653625277e+02 1.597528703112984362e-05
6.932806692144527005e+02 1.381695199160558539e-05
7.697747057123714285e+02 1.071103341814030965e-05
8.547088125592514416e+02 8.525742472784980449e-06
9.490142360424729304e+02 7.036096373474002746e-06
1.053724972736073141e+03 5.655361929689888386e-06
1.169989106589066068e+03 4.598405612791433193e-06
1.299081396906347436e+03 3.752125784928685204e-06
1.442417255241065732e+03 3.111258578653422449e-06
1.601568264445835666e+03 2.492015778140751340e-06
1.778279410038923743e+03 1.984024371100483070e-06
1.974488212815937914e+03 1.687038593435011375e-06
2.192345972483447895e+03 1.398818447912737246e-06
2.434241355236920754e+03 1.141805504524058942e-06
2.702826583905163716e+03 9.034032795752266780e-07
3.001046517818873326e+03 7.560957484964178287e-07
3.332170941244818096e+03 6.451933676776437818e-07
3.699830414406963882e+03 5.335851877735415231e-07
4.108056080177274453e+03 3.935250418054985426e-07
4.561323862890215423e+03 3.514047670990363272e-07
5.064603543891711524e+03 3.020033028264042984e-07
5.623413251903493801e+03 2.393861268250914099e-07
6.243879965653628460e+03 2.031171604754578075e-07
6.932806692144527005e+03 1.743373588349024921e-07
7.697747057123714512e+03 1.381556571353902058e-07
8.547088125592514189e+03 1.274660176786681489e-07
9.490142360424730214e+03 1.040118594339635894e-07
1.053724972736072414e+04 8.106018765888935635e-08
1.169989106589065159e+04 6.765050006889907690e-08
1.299081396906347982e+04 5.704642651067071466e-08
1.442417255241066232e+04 4.650468219369643355e-08
1.601568264445835484e+04 3.568200233631854326e-08
1.778279410038924470e+04 3.015992006306900227e-08
1.974488212815938823e+04 2.391261125556989323e-08
2.192345972483446167e+04 1.679697289222586652e-08
2.434241355236919117e+04 1.349577699135075857e-08
2.702826583905164807e+04 1.192854142618089988e-08
3.001046517818875145e+04 9.826698953522565252e-09
3.332170941244816640e+04 8.299928894787108152e-09
3.699830414406962518e+04 6.649165265599027661e-09
4.108056080177275726e+04 4.760983492542842817e-09
4.561323862890215241e+04 4.287875137147519093e-09
5.064603543891708978e+04 3.077356332496803526e-09
5.623413251903496712e+04 2.690037066479434035e-09
6.243879965653631371e+04 1.933283816573653113e-09
6.932806692144523549e+04 1.542808485264639008e-09
7.697747057123709237e+04 7.939980295137294288e-10
8.547088125592518190e+04 4.826903895265083707e-10
9.490142360424734943e+04 2.898163265961859281e-10
1.053724972736073541e+05 8.700556814907440525e-11
1.169989106589066505e+05 1.305994209824331414e-11
1.299081396906348091e+05 1.176214979601457293e-11
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
