# r C
0.000000000000000000e+00 3.228657456606446874e-01
1.000000000000000000e+00 2.215410607614795024e-01
2.000000000000000000e+00 1.849473622461181577e-01
3.000000000000000000e+00 1.521860431949656478e-01
4.000000000000000000e+00 1.309969172287508976e-01
5.000000000000000000e+00 1.185968136617940871e-01
6.000000000000000000e+00 1.074448498759747461e-01
7.000000000000000000e+00 9.758960752903483860e-02
8.000000000000000000e+00 9.063773546627842959e-02
9.000000000000000000e+00 8.422383943936471995e-02
1.000000000000000000e+01 7.823092613388948902e-02
1.100000000000000000e+01 7.409898359801259105e-02
1.200000000000000000e+01 6.976548585384316492e-02
1.300000000000000000e+01 6.552463739963740319e-02
1.400000000000000000e+01 6.239239398052661562e-02
1.500000000000000000e+01 5.939006694622333410e-02
1.600000000000000000e+01 5.650961784873923671e-02
1.700000000000000000e+01 5.465987069874793380e-02
1.800000000000000000e+01 5.184482234566277492e-02
1.900000000000000000e+01 4.927704111530546716e-02
2.000000000000000000e+01 4.753268097454975416e-02
2.100000000000000000e+01 4.592115367187984271e-02
2.200000000000000000e+01 4.398455475919706148e-02
2.300000000000000000e+01 4.235988486717619933e-02
2.400000000000000000e+01 4.083341073474180266e-02
2.500000000000000000e+01 3.872291871488134363e-02
2.600000000000000000e+01 3.677216125452573148e-02
2.700000000000000000e+01 3.513446772482653468e-02
2.800000000000000000e+01 3.327764850943659009e-02
2.900000000000000000e+01 3.136313795383082609e-02
3.000000000000000000e+01 2.980406184649397883e-02
3.100000000000000000e+01 2.803059539062379563e-02
3.200000000000000000e+01 2.652849104373738651e-02
3.300000000000000000e+01 2.519901544088172865e-02
3.400000000000000000e+01 2.395070587546131030e-02
3.500000000000000000e+01 2.251980983844974887e-02
3.600000000000000000e+01 2.127914787448421594e-02
3.700000000000000000e+01 2.001154679615950449e-02
3.800000000000000000e+01 1.902464819410765520e-02
3.900000000000000000e+01 1.791592521820116815e-02
4.000000000000000000e+01 1.700026807255830552e-02
4.100000000000000000e+01 1.656222608877667285e-02
4.200000000000000000e+01 1.534356693889767781e-02
4.300000000000000000e+01 1.497043444265259288e-02
4.400000000000000000e+01 1.458142908464186462e-02
4.500000000000000000e+01 1.351840767228263025e-02
4.600000000000000000e+01 1.305689186362685682e-02
4.700000000000000000e+01 1.251151661375100171e-02
4.800000000000000000e+01 1.100849302639149083e-02
4.900000000000000000e+01 1.072764136066681716e-02
5.000000000000000000e+01 1.032781284479716843e-02
5.100000000000000000e+01 8.928462778080067247e-03
5.200000000000000000e+01 8.515368039015537918e-03
5.300000000000000000e+01 8.345495448278086176e-03
5.400000000000000000e+01 7.599795955421447154e-03
5.500000000000000000e+01 7.702857142857143236e-03
5.600000000000000000e+01 7.884265491176427332e-03
5.700000000000000000e+01 6.904700365542960211e-03
5.800000000000000000e+01 7.207691790492839166e-03
5.900000000000000000e+01 6.663440098179869257e-03
6.000000000000000000e+01 5.812883999852838136e-03
6.100000000000000000e+01 5.755835268239032493e-03
6.200000000000000000e+01 5.666786681485887732e-03
6.300000000000000000e+01 4.837902463437690828e-03
6.400000000000000000e+01 3.812455600284158069e-03
6.500000000000000000e+01 3.931847968545215850e-03
6.600000000000000000e+01 2.322787344813776692e-03
6.700000000000000000e+01 1.882352941176470640e-03
6.800000000000000000e+01 1.609195402298850596e-03
6.900000000000000000e+01 1.809954751131221794e-03
7.000000000000000000e+01 5.226480836236933793e-04
7.100000000000000000e+01 0.000000000000000000e+00
7.200000000000000000e+01 0.000000000000000000e+00
7.300000000000000000e+01 0.000000000000000000e+00
7.400000000000000000e+01 0.000000000000000000e+00
7.500000000000000000e+01 0.000000000000000000e+00
7.600000000000000000e+01 nan
