J,pdf_J
-1.59777777777778,0.00350262697022767
-1.53407407407407,0.00525394045534151
-1.47037037037037,0.0131348511383538
-1.40666666666667,0.026707530647986
-1.34296296296296,0.0262697022767075
-1.27925925925926,0.0337127845884413
-1.21555555555556,0.0394045534150613
-1.15185185185185,0.0389667250437828
-1.08814814814815,0.0306479859894921
-1.02444444444444,0.0275831873905429
-0.960740740740741,0.0205779334500876
-0.897037037037037,0.0153239929947461
-0.833333333333333,0.0122591943957968
-0.76962962962963,0.0126970227670753
-0.705925925925926,0.0100700525394046
-0.642222222222222,0.00963222416812609
-0.578518518518519,0.010507880910683
-0.514814814814815,0.0245183887915937
-0.451111111111111,0.0197022767075306
-0.387407407407407,0.0170753064798599
-0.323703703703704,0.0249562171628722
-0.26,0.0236427320490368
-0.196296296296296,0.0249562171628722
-0.132592592592593,0.0306479859894921
-0.068888888888889,0.0214535901926445
-0.00518518518518521,0.0183887915936953
0.0585185185185185,0.0170753064798599
0.122222222222222,0.0205779334500876
0.185925925925926,0.0153239929947461
0.24962962962963,0.0148861646234676
0.313333333333333,0.0201401050788091
0.377037037037037,0.0175131348511384
0.440740740740741,0.0197022767075306
0.504444444444444,0.0227670753064799
0.568148148148148,0.0249562171628722
0.631851851851852,0.0227670753064799
0.695555555555555,0.0415936952714536
0.759259259259259,0.0354640980735552
0.822962962962963,0.0280210157618214
0.886666666666667,0.032399299474606
0.95037037037037,0.0280210157618214
1.01407407407407,0.0258318739054291
1.07777777777778,0.0201401050788091
1.14148148148148,0.0100700525394046
1.20518518518519,0.0100700525394046
1.26888888888889,0.010507880910683
1.33259259259259,0.00569176882661997
1.3962962962963,0.00831873905429072
1.46,0.00394045534150613
1.5237037037037,0.00262697022767075
