# L PDF
1.053724972736073084e+01 2.114110593902470692e-01
1.169989106589065919e+01 7.788479124193440438e-06
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 1.339458239436201736e-01
1.601568264445835510e+01 5.283288669899176473e-06
1.778279410038922848e+01 1.003864851266592501e-01
1.974488212815936450e+01 6.922631145419869376e-06
2.192345972483446914e+01 1.941431054350006152e-02
2.434241355236920512e+01 3.208662601277131868e-06
2.702826583905163460e+01 1.978340834247723640e-02
3.001046517818873482e+01 1.667796708197416891e-02
3.332170941244817897e+01 6.453855071422128289e-03
3.699830414406963541e+01 6.003751898271161326e-03
4.108056080177274083e+01 5.342978210965102122e-03
4.561323862890213832e+01 2.705682120741871848e-03
5.064603543891708881e+01 2.396073204360395226e-03
5.623413251903490817e+01 3.511621542888641086e-03
6.243879965653627551e+01 1.209024221700110259e-03
6.932806692144527005e+01 1.824284228545034478e-03
7.697747057123714853e+01 1.293701963037144353e-03
8.547088125592514984e+01 1.286151701355868482e-03
9.490142360424729873e+01 5.813325804877838687e-04
1.053724972736073084e+02 6.587176592056176797e-04
1.169989106589065955e+02 4.749303305945673818e-04
1.299081396906348118e+02 3.510267490982747264e-04
1.442417255241066414e+02 3.306747198295554311e-04
1.601568264445835439e+02 2.330336710246274680e-04
1.778279410038922776e+02 2.084857725700262434e-04
1.974488212815936663e+02 1.501881309453932743e-04
2.192345972483447838e+02 1.337791829413563667e-04
2.434241355236920867e+02 9.310469314705806969e-05
2.702826583905163602e+02 8.072206639478973528e-05
3.001046517818873554e+02 7.035817419915491738e-05
3.332170941244818323e+02 5.567036002891367165e-05
3.699830414406964110e+02 4.069117748615814952e-05
4.108056080177276499e+02 3.683774491576345206e-05
4.561323862890214969e+02 2.975237182504551417e-05
5.064603543891709023e+02 2.288889925426852763e-05
5.623413251903490391e+02 1.921385596491381376e-05
6.243879965653625277e+02 1.529262401477889084e-05
6.932806692144527005e+02 1.313454601273480175e-05
7.697747057123714285e+02 1.064556059780238868e-05
8.547088125592514416e+02 7.760012929608803262e-06
9.490142360424729304e+02 6.892865070672751078e-06
1.053724972736073141e+03 5.596382213431068689e-06
1.169989106589066068e+03 4.322605913927364364e-06
1.299081396906347436e+03 3.251732231869574461e-06
1.442417255241065732e+03 2.653339727889969342e-06
1.601568264445835666e+03 2.105187331544420341e-06
1.778279410038923743e+03 1.734941295614314333e-06
1.974488212815937914e+03 1.229591151067432538e-06
2.192345972483447895e+03 9.975544933043882530e-07
2.434241355236920754e+03 6.256892072490403077e-07
2.702826583905163716e+03 4.888597696343175174e-07
3.001046517818873326e+03 3.318372580909588894e-07
3.332170941244818096e+03 1.777544828993383364e-07
3.699830414406963882e+03 1.671276204576318744e-07
4.108056080177274453e+03 9.981840557819877264e-08
4.561323862890215423e+03 5.993283533102577809e-08
5.064603543891711524e+03 5.140684840936258239e-08
5.623413251903493801e+03 3.125145247305228871e-08
6.243879965653628460e+03 1.042441991464146022e-08
6.932806692144527005e+03 6.571967268702199983e-09
7.697747057123714512e+03 7.610011547277322963e-09
8.547088125592514189e+03 1.523064363024297116e-09
9.490142360424730214e+03 0.000000000000000000e+00
1.053724972736072414e+04 0.000000000000000000e+00
1.169989106589065159e+04 0.000000000000000000e+00
1.299081396906347982e+04 0.000000000000000000e+00
1.442417255241066232e+04 0.000000000000000000e+00
1.601568264445835484e+04 0.000000000000000000e+00
1.778279410038924470e+04 0.000000000000000000e+00
1.974488212815938823e+04 0.000000000000000000e+00
2.192345972483446167e+04 0.000000000000000000e+00
2.434241355236919117e+04 0.000000000000000000e+00
2.702826583905164807e+04 0.000000000000000000e+00
3.001046517818875145e+04 0.000000000000000000e+00
3.332170941244816640e+04 0.000000000000000000e+00
3.699830414406962518e+04 0.000000000000000000e+00
4.108056080177275726e+04 0.000000000000000000e+00
4.561323862890215241e+04 0.000000000000000000e+00
5.064603543891708978e+04 0.000000000000000000e+00
5.623413251903496712e+04 0.000000000000000000e+00
6.243879965653631371e+04 0.000000000000000000e+00
6.932806692144523549e+04 0.000000000000000000e+00
7.697747057123709237e+04 0.000000000000000000e+00
8.547088125592518190e+04 0.000000000000000000e+00
9.490142360424734943e+04 0.000000000000000000e+00
1.053724972736073541e+05 0.000000000000000000e+00
1.169989106589066505e+05 0.000000000000000000e+00
1.299081396906348091e+05 0.000000000000000000e+00
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
